carrier_1,parameter,value
power,costLss,10000
mobilityFreight,costLss,10000
mobilityPassenger,costLss,10000
heatHigh,costLss,10000
heatLow,costLss,10000
mobilityFreight,costCrt,10000
mobilityPassenger,costCrt,10000
