timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.0010994416043788257,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.0010994416043788257,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.653489106064744e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.653489106064744e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.005929748135473458,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.005929748135473458,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00011560530262544512,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00011560530262544512,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.00010144437972873171,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.00010144437972873171,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.00023211871215254027,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.00023211871215254027,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.09066652376461577,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.09066652376461577,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,7.641248453347678e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,7.641248453347678e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.006108411083450434,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.006108411083450434,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.00016042924841740206,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.00016042924841740206,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,9.237601354148289e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,9.237601354148289e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.000358656733882386,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.000358656733882386,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.05104389948286058,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.05104389948286058,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,9.226488364179977e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,9.226488364179977e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.7085079601075789,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.7085079601075789,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2210676253981473e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2210676253981473e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.5125772968007574e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.5125772968007574e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.2467507221939019e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.2467507221939019e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,2.2344191563712628e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,2.2344191563712628e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.2026740766227546e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.2026740766227546e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.4058714348105487e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.4058714348105487e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,2.9503802260257303e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,2.9503802260257303e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,6.760139939183382e-5,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,6.760139939183382e-5,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,1.2305304654835139e-5,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,1.2305304654835139e-5,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,4.3520649731225294e-5,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,4.3520649731225294e-5,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.3434369177246389e-5,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.3434369177246389e-5,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,1.486201235735759e-5,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,1.486201235735759e-5,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,9.624663944168715e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,9.624663944168715e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,1.297400194597944e-5,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,1.297400194597944e-5,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,1.0059673656125381e-5,expExc
