timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.21606182692362055,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.21606182692362055,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.8764355777545434e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.8764355777545434e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.00014516161189339198,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.00014516161189339198,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00011065258041059739,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00011065258041059739,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.00013191091600252739,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.00013191091600252739,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.007621026502465962,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.007621026502465962,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.1455744491647199,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.1455744491647199,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,4.950933087773257e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,4.950933087773257e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.024684151034080528,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.024684151034080528,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,2.865037623059767e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,2.865037623059767e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.002262918136521524,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.002262918136521524,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.00014260108182158752,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.00014260108182158752,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.9568878845629536e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.9568878845629536e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.206429355355331,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.206429355355331,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.2064571752237285,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.2064571752237285,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2274446766715147e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2274446766715147e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.0191714247403693e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.0191714247403693e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,0.005968898383766856,expExc
