timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.006017550912983499,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.006017550912983499,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.7877323001799296e-6,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.7877323001799296e-6,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.00891459272990171,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.00891459272990171,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,2.6040107787516632e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,2.6040107787516632e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,9.156593176530662e-6,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,9.156593176530662e-6,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.008187791429367463,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.008187791429367463,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.06487355512684745,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.06487355512684745,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,2.734811872525381e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,2.734811872525381e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,3.141609908061628e-6,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,3.141609908061628e-6,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.00837440835762085,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.00837440835762085,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,1.0887060549474312e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,1.0887060549474312e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,7.567756675221067e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,7.567756675221067e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.08637125380307104,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.08637125380307104,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.4709324263138605e-6,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.4709324263138605e-6,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6053884292059679,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6053884292059679,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.3515470320214717e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.3515470320214717e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.809442774775462e-6,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.809442774775462e-6,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.6775143084641735e-6,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.6775143084641735e-6,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.855368192559563e-6,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.855368192559563e-6,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,2.1215388279600245e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,2.1215388279600245e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.0188952376056483e-6,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,2.0188952376056483e-6,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,4.08392026128961e-6,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,4.08392026128961e-6,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,1.8422528139083399e-6,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,1.8422528139083399e-6,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,2.717457881236172e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,2.717457881236172e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,1.365018847365276e-6,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,1.365018847365276e-6,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.6603032485396467e-6,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.6603032485396467e-6,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,1.6983683674651115e-6,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,1.6983683674651115e-6,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,1.3117578468547533e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,1.3117578468547533e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,1.5741458842869838e-6,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,1.5741458842869838e-6,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,1.330326045957246e-6,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,1.330326045957246e-6,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,2.396893999320046e-6,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,2.396893999320046e-6,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,2.7013836146250944e-6,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,2.7013836146250944e-6,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,2.5128709091792944e-6,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,2.5128709091792944e-6,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,5.7078594160859605e-6,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,5.7078594160859605e-6,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,1.7719872092275815e-6,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,1.7719872092275815e-6,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,1.349597550881702e-6,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,1.349597550881702e-6,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,1.3917051427614906e-6,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,1.3917051427614906e-6,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,1.6036145605722466e-6,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,1.6036145605722466e-6,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,1.5085860097497387e-6,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,1.5085860097497387e-6,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,1.90429239804325e-6,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,1.90429239804325e-6,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,1.4235665966156106e-6,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,1.4235665966156106e-6,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,1.7997574951062662e-6,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,1.7997574951062662e-6,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,1.6366494195120123e-6,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,1.6366494195120123e-6,expExc
20th < 2025,usa < california,usa < utah,hydrogen,2.0914904131189896e-6,expExc
20th < 2030,usa < california,usa < utah,hydrogen,2.0914904131189896e-6,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,2.1203648886846213e-6,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,2.1203648886846213e-6,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,1.8909032679505159e-6,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,1.8909032679505159e-6,expExc
20th < 2025,usa < colorado,usa < newMexico,hydrogen,8.92524573781248e-6,expExc
20th < 2030,usa < colorado,usa < newMexico,hydrogen,8.92524573781248e-6,expExc
20th < 2025,usa < colorado,usa < oklahoma,hydrogen,0.018469062271359294,expExc
20th < 2030,usa < colorado,usa < oklahoma,hydrogen,0.018469062271359294,expExc
20th < 2025,usa < colorado,usa < utah,hydrogen,1.2933557533530451e-6,expExc
20th < 2030,usa < colorado,usa < utah,hydrogen,1.2933557533530451e-6,expExc
20th < 2025,usa < colorado,usa < wyoming,hydrogen,1.6008323644997398e-6,expExc
20th < 2030,usa < colorado,usa < wyoming,hydrogen,1.6008323644997398e-6,expExc
20th < 2025,usa < connecticut,usa < massachusetts,hydrogen,0.0007869116596353391,expExc
20th < 2030,usa < connecticut,usa < massachusetts,hydrogen,0.0007869116596353391,expExc
20th < 2025,usa < connecticut,usa < newYork,hydrogen,0.005409929508140746,expExc
20th < 2030,usa < connecticut,usa < newYork,hydrogen,0.005409929508140746,expExc
20th < 2025,usa < connecticut,usa < rhodeIsland,hydrogen,0.00011910750913363393,expExc
20th < 2030,usa < connecticut,usa < rhodeIsland,hydrogen,0.00011910750913363393,expExc
20th < 2025,usa < delaware,usa < maryland,hydrogen,1.8762284522125754e-6,expExc
20th < 2030,usa < delaware,usa < maryland,hydrogen,1.8762284522125754e-6,expExc
20th < 2025,usa < delaware,usa < newJersey,hydrogen,2.3720889497890507e-6,expExc
20th < 2030,usa < delaware,usa < newJersey,hydrogen,2.3720889497890507e-6,expExc
20th < 2025,usa < delaware,usa < pennsylvania,hydrogen,1.582732245388895e-6,expExc
20th < 2030,usa < delaware,usa < pennsylvania,hydrogen,1.582732245388895e-6,expExc
20th < 2025,usa < florida,usa < georgia,hydrogen,1.6126914123155234e-6,expExc
20th < 2030,usa < florida,usa < georgia,hydrogen,1.6126914123155234e-6,expExc
20th < 2025,usa < georgia,usa < northCarolina,hydrogen,1.3317987887450637e-6,expExc
