timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.001153900520832383,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.001153900520832383,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.769146848128209e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.769146848128209e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.005976431076881663,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.005976431076881663,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00013251444940033666,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00013251444940033666,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.00011741684324452552,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.00011741684324452552,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.00029671204879301783,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.00029671204879301783,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.09050385893595676,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.09050385893595676,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,8.863292722959173e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,8.863292722959173e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.006031269482810204,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.006031269482810204,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.0001566115423002247,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.0001566115423002247,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.00010989627057759654,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.00010989627057759654,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.00043314169601605486,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.00043314169601605486,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.05159321635558915,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.05159321635558915,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.00014652002912232968,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.00014652002912232968,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.7089692832144219,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.7089692832144219,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.5998565581661717e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.5998565581661717e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.374570362149073e-5,expExc
