timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.0017830979413861366,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.0017830979413861366,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.2772791459664817e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.2772791459664817e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,2.2547202003214526e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,2.2547202003214526e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00020059157800034075,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00020059157800034075,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.023900196274802835,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.023900196274802835,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.0006496689052594159,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.0006496689052594159,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.02476348058612385,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.02476348058612385,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.00019367788180057354,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.00019367788180057354,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,1.628860020341305e-5,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,1.628860020341305e-5,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.0007699241683917885,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.0007699241683917885,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,3.005200715359139e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,3.005200715359139e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,7.941819317375071e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,7.941819317375071e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.9030073387713002e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.9030073387713002e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1161213092765268,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1161213092765268,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.1161494191163406,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.1161494191163406,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,9.138311230922867e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,9.138311230922867e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.2898206901097008e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.2898206901097008e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.3575234005106787e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.3575234005106787e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.4225825031305027e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.4225825031305027e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,9.670354553396522e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,9.670354553396522e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.497077860086629e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.497077860086629e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,1.7910065403421905e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,1.7910065403421905e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,1.11610642821686,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,1.11610642821686,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,9.723272228527516e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,9.723272228527516e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,1.1160784771793795,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,1.1160784771793795,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.152950259531199e-5,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.152950259531199e-5,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,9.17202399920888e-6,expExc
