timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.00017314987386400307,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.00017314987386400307,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.4381906813424142e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.4381906813424142e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,2.4432964556689988e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,2.4432964556689988e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,5.8738281639327845e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,5.8738281639327845e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,2.872201108929001e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,2.872201108929001e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,2.7693761365849253e-5,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,2.7693761365849253e-5,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.00012843486801765338,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.00012843486801765338,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,2.2449616951995413e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,2.2449616951995413e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.00035111853862761244,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.00035111853862761244,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,4.873700689605166e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,4.873700689605166e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,4.35627860779185e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,4.35627860779185e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,2.2421030588986206e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,2.2421030588986206e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.8133091871501922e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.8133091871501922e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1246938849046044,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1246938849046044,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.1247161346436354,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.1247161346436354,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.9253577419838364e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.9253577419838364e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,4.3673519352114564e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,4.3673519352114564e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,4.7331316120845895e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,4.7331316120845895e-5,expExc
