timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.006009322630198088,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.006009322630198088,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.0632991756432294e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.0632991756432294e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.006460564738299282,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.006460564738299282,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00012476262461116866,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00012476262461116866,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,7.910826883019864e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,7.910826883019864e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.005409185012179164,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.005409185012179164,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.07471517919688886,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.07471517919688886,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.00012631033953568646,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.00012631033953568646,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.006192007901644944,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.006192007901644944,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.0014325383499156573,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.0014325383499156573,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,8.739377284171e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,8.739377284171e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0004869374366589861,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0004869374366589861,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.0879522730620658,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.0879522730620658,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,3.654736573169806e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,3.654736573169806e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6055983337896069,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6055983337896069,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,7.19469069443957e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,7.19469069443957e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.3744996383292445e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.3744996383292445e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.190485292078427e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.190485292078427e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.0436489153746886e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.0436489153746886e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.1996485739558574e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.1996485739558574e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.2565307622652855e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.2565307622652855e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,2.7626955610177082e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,2.7626955610177082e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,1.0339315276541e-5,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,1.0339315276541e-5,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,1.597140920006687e-5,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,1.597140920006687e-5,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,7.15422877779179e-6,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,7.15422877779179e-6,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,8.080552330420116e-6,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,8.080552330420116e-6,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,9.851896639474114e-6,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,9.851896639474114e-6,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,6.486818986394563e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,6.486818986394563e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,8.489708230875352e-6,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,8.489708230875352e-6,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,6.725832461260378e-6,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,6.725832461260378e-6,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,1.7244212632338287e-5,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,1.7244212632338287e-5,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,0.00010651181200808517,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,0.00010651181200808517,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,0.0014611440029841487,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,0.0014611440029841487,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,0.001229725352652549,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,0.001229725352652549,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,3.3520064864148535e-5,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,3.3520064864148535e-5,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,6.643097692806795e-6,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,6.643097692806795e-6,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,6.974538927439606e-6,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,6.974538927439606e-6,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,8.723888788785763e-6,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,8.723888788785763e-6,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,7.376700327955312e-6,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,7.376700327955312e-6,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,9.933422954096854e-6,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,9.933422954096854e-6,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,7.87590327933814e-6,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,7.87590327933814e-6,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,2.6538920446054376e-5,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,2.6538920446054376e-5,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,1.09347082140829e-5,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,1.09347082140829e-5,expExc
20th < 2025,usa < california,usa < utah,hydrogen,0.0004769715978866107,expExc
20th < 2030,usa < california,usa < utah,hydrogen,0.0004769715978866107,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,1.2015621692467168e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,1.2015621692467168e-5,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,9.636406459746617e-6,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,9.636406459746617e-6,expExc
