timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.005897824910717736,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.005897824910717736,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,5.142842501728063e-6,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,5.142842501728063e-6,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.008215914352624636,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.008215914352624636,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00010863984670049718,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00010863984670049718,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,2.9474397089695008e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,2.9474397089695008e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.008420919104811655,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.008420919104811655,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.06432763944520847,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.06432763944520847,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.00010429760044784084,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.00010429760044784084,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,9.356253252844082e-6,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,9.356253252844082e-6,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.008592639237226045,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.008592639237226045,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,4.164572900531178e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,4.164572900531178e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0004242181534502851,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0004242181534502851,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.086368793402209,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.086368793402209,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.709908142037794e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.709908142037794e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6052886656504338,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6052886656504338,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,4.075937421882714e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,4.075937421882714e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,5.785909463820998e-6,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,5.785909463820998e-6,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,5.299275740819156e-6,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,5.299275740819156e-6,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,5.7458060466167105e-6,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,5.7458060466167105e-6,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,5.814687341116902e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,5.814687341116902e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,5.675891519366984e-6,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,5.675891519366984e-6,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,1.1942031119156294e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,1.1942031119156294e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,5.611711563433182e-6,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,5.611711563433182e-6,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,7.680384169895908e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,7.680384169895908e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,4.0762425630983045e-6,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,4.0762425630983045e-6,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,5.022058435749915e-6,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,5.022058435749915e-6,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,5.493123838866111e-6,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,5.493123838866111e-6,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,3.911896037508081e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,3.911896037508081e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,4.882721536272728e-6,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,4.882721536272728e-6,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,4.000876654588871e-6,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,4.000876654588871e-6,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,7.541586390036298e-6,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,7.541586390036298e-6,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,8.283321896207508e-6,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,8.283321896207508e-6,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,8.050637250735862e-6,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,8.050637250735862e-6,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,1.9027348093896636e-5,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,1.9027348093896636e-5,expExc
