timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.00021537032234248264,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.00021537032234248264,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.638293465237504e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.638293465237504e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,9.54775190950275e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,9.54775190950275e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,6.337677997555196e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,6.337677997555196e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,6.05726557231286e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,6.05726557231286e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.00027149725725047347,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.00027149725725047347,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.01182050704667051,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.01182050704667051,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,5.5639873983237256e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,5.5639873983237256e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,3.0462064291761843e-5,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,3.0462064291761843e-5,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.002656584092480411,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.002656584092480411,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,4.906898424492937e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,4.906898424492937e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,7.045478832069235e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,7.045478832069235e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,3.9734389893114806e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,3.9734389893114806e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.642608012920143e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.642608012920143e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,9.485745950284642e-5,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,9.485745950284642e-5,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2142174010920802e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.2142174010920802e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.1178963614777062e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,2.1178963614777062e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.1975090256260675e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.1975090256260675e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.4601067964850976e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.4601067964850976e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.2685979542408999e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.2685979542408999e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.4813835478687613e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.4813835478687613e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,2.1816198462093035e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,2.1816198462093035e-5,expExc
