timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.029185397475946333,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.029185397475946333,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.3119908410825797e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.3119908410825797e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,5.115820932152024e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,5.115820932152024e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,5.519848812938203e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,5.519848812938203e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,8.134047461519673e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,8.134047461519673e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,2.247528729444483e-5,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,2.247528729444483e-5,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.029827050014630974,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.029827050014630974,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,4.4708344574310484e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,4.4708344574310484e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.003969906776417757,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.003969906776417757,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.970588938073695e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.970588938073695e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.00013044462681252277,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.00013044462681252277,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,7.305882478108217e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,7.305882478108217e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.00015165920486390409,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.00015165920486390409,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8226077812838778,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8226077812838778,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.8227604654814001,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.8227604654814001,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.1454958358602243e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.1454958358602243e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.2012953694701968e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.2012953694701968e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.8944858558965005e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.8944858558965005e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,4.3946886613981155e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,4.3946886613981155e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.380832390381432e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.380832390381432e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.578950595961132e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,2.578950595961132e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,1.4563096228814403e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,1.4563096228814403e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,0.8226039325959705,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,0.8226039325959705,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,1.758231655064237e-5,expExc
