timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.03038561626064748,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.03038561626064748,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,2.337058546091615e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,2.337058546091615e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,4.0165898856438505e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,4.0165898856438505e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.0010989947950189411,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.0010989947950189411,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.041564919472086,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.041564919472086,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.004498999365527301,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.004498999365527301,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.13420541353161103,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.13420541353161103,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.0010802401354648682,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.0010802401354648682,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.022081068704889552,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.022081068704889552,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,4.866021040354589e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,4.866021040354589e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,8.883716340225744e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,8.883716340225744e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0008299584043322756,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0008299584043322756,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.01671570853090546,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.01671570853090546,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8138802599289023,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.8138802599289023,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.8306044261927861,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.8306044261927861,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.7629945343827477e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.7629945343827477e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.1403929630355475e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,2.1403929630355475e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,2.3979710215647884e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,2.3979710215647884e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,2.4693023677315726e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,2.4693023677315726e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.629290199973751e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.629290199973751e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.560658804670164e-5,expExc
