timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,3.22510197203534e-5,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,3.22510197203534e-5,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,3.168245217445135e-6,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,3.168245217445135e-6,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,1.6522051736306844e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,1.6522051736306844e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,1.3387582532622963e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,1.3387582532622963e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,1.1745195629674505e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,1.1745195629674505e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,3.8341972043154414e-5,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,3.8341972043154414e-5,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.011931130126090156,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.011931130126090156,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,1.1773138565608907e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,1.1773138565608907e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,4.435619622837845e-6,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,4.435619622837845e-6,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.002956628186383494,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.002956628186383494,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,9.709350763190139e-6,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,9.709350763190139e-6,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,1.476357725176989e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,1.476357725176989e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,7.955682374411548e-6,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,7.955682374411548e-6,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1294134457488428e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1294134457488428e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.9034758004019803e-5,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.9034758004019803e-5,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,2.3683261927605407e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,2.3683261927605407e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,4.205657790248856e-6,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,4.205657790248856e-6,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,2.3416146908551643e-6,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,2.3416146908551643e-6,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,2.881760568949984e-6,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,2.881760568949984e-6,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,2.486850632348464e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,2.486850632348464e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.922670650517725e-6,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,2.922670650517725e-6,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,4.329091700463771e-6,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,4.329091700463771e-6,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,8.144450495084462e-6,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,8.144450495084462e-6,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,2.3729608828252923e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,2.3729608828252923e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,4.2646768590502104e-6,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,4.2646768590502104e-6,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,2.396937287706593e-6,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,2.396937287706593e-6,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,2.4802412241279486e-6,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,2.4802412241279486e-6,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,2.2736639037680268e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,2.2736639037680268e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,2.457686906897573e-6,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,2.457686906897573e-6,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,2.4769057708576364e-6,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,2.4769057708576364e-6,expExc
