timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.008439677899838799,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.008439677899838799,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.1078723999943146e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.1078723999943146e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,2.3939816658819795e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,2.3939816658819795e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,6.827675114756541e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,6.827675114756541e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.015786292201488396,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.015786292201488396,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.0003194003639469433,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.0003194003639469433,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.016214862742471657,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.016214862742471657,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,5.5824832819194805e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,5.5824832819194805e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.008389154732060566,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.008389154732060566,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.5265621824237602e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.5265621824237602e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,7.550767628681695e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,7.550767628681695e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.00015398721040024512,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.00015398721040024512,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,1.5687682403565398e-5,expExc
