timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.008415798945293141,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.008415798945293141,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.6400993553800883e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.6400993553800883e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,3.9562174787390655e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,3.9562174787390655e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00011188633208225306,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00011188633208225306,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.01583213152755025,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.01583213152755025,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.00029953178801232614,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.00029953178801232614,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.016619324053271003,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.016619324053271003,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,8.474948366523423e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,8.474948366523423e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.008347735392919876,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.008347735392919876,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,2.4983363191837005e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,2.4983363191837005e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.00011040118964675856,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.00011040118964675856,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.00023230215118028762,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.00023230215118028762,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.4827858156622126e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,2.4827858156622126e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.124694167006477,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.124694167006477,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.1247210161371761,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.1247210161371761,expExc
