timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.15143683197812546,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.15143683197812546,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,9.815029218992048e-6,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,9.815029218992048e-6,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,8.135457855779775e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,8.135457855779775e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,2.7190155331138514e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,2.7190155331138514e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.005803604644188726,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.005803604644188726,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.006735380960219842,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.006735380960219842,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.10189173514040892,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.10189173514040892,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,1.759207661643112e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,1.759207661643112e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.04520836635854459,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.04520836635854459,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.9007135322548085e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.9007135322548085e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,9.195340830599725e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,9.195340830599725e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,3.8469874721507114e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,3.8469874721507114e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,1.494813789459211e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,1.494813789459211e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.6014474019987415,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.6014474019987415,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.6014610923049073,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.6014610923049073,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,6.236136295033257e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,6.236136295033257e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,9.565052082138904e-6,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,9.565052082138904e-6,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.1481822436317936e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.1481822436317936e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.3181484427723976e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.3181484427723976e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,8.872412739688986e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,8.872412739688986e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,0.01326441478294118,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,0.01326441478294118,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,7.429628065019211e-6,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,7.429628065019211e-6,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,1.6014578043014083,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,1.6014578043014083,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,8.60461840300487e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,8.60461840300487e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,1.6014291602896291,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,1.6014291602896291,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,0.0007645168254905577,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,0.0007645168254905577,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,0.025159238331545007,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,0.025159238331545007,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,5.686741067544014e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,5.686741067544014e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,0.01151414184623372,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,0.01151414184623372,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,0.010246631475160571,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,0.010246631475160571,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,0.17793701361536257,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,0.17793701361536257,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,1.6723620551022615e-5,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,1.6723620551022615e-5,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,4.746941738112485e-6,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,4.746941738112485e-6,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,1.4932306452640101e-5,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,1.4932306452640101e-5,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,6.072884035858883e-6,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,6.072884035858883e-6,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,4.492819903386991e-6,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,4.492819903386991e-6,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,0.004819848779044546,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,0.004819848779044546,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,7.262323074092156e-6,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,7.262323074092156e-6,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,1.399703713882998e-5,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,1.399703713882998e-5,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,0.0062517529828460434,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,0.0062517529828460434,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,0.011058512969166169,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,0.011058512969166169,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,0.19658650955260215,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,0.19658650955260215,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,0.00012655450935059764,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,0.00012655450935059764,expExc
20th < 2025,usa < california,usa < utah,hydrogen,0.19952263882816731,expExc
20th < 2030,usa < california,usa < utah,hydrogen,0.19952263882816731,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,1.157066365102403e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,1.157066365102403e-5,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,1.9434837475445035e-5,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,1.9434837475445035e-5,expExc
20th < 2025,usa < colorado,usa < newMexico,hydrogen,0.00011864597789697645,expExc
20th < 2030,usa < colorado,usa < newMexico,hydrogen,0.00011864597789697645,expExc
20th < 2025,usa < colorado,usa < oklahoma,hydrogen,0.002013534192709837,expExc
20th < 2030,usa < colorado,usa < oklahoma,hydrogen,0.002013534192709837,expExc
20th < 2025,usa < colorado,usa < utah,hydrogen,0.011012017516876726,expExc
20th < 2030,usa < colorado,usa < utah,hydrogen,0.011012017516876726,expExc
20th < 2025,usa < colorado,usa < wyoming,hydrogen,0.01055189931887598,expExc
20th < 2030,usa < colorado,usa < wyoming,hydrogen,0.01055189931887598,expExc
20th < 2025,usa < connecticut,usa < massachusetts,hydrogen,0.003127327417310673,expExc
20th < 2030,usa < connecticut,usa < massachusetts,hydrogen,0.003127327417310673,expExc
20th < 2025,usa < connecticut,usa < newYork,hydrogen,0.00015143700330889112,expExc
20th < 2030,usa < connecticut,usa < newYork,hydrogen,0.00015143700330889112,expExc
20th < 2025,usa < connecticut,usa < rhodeIsland,hydrogen,1.8903154232411204e-5,expExc
20th < 2030,usa < connecticut,usa < rhodeIsland,hydrogen,1.8903154232411204e-5,expExc
20th < 2025,usa < delaware,usa < maryland,hydrogen,9.73374266284965e-6,expExc
20th < 2030,usa < delaware,usa < maryland,hydrogen,9.73374266284965e-6,expExc
20th < 2025,usa < delaware,usa < newJersey,hydrogen,1.2094183302199499e-5,expExc
20th < 2030,usa < delaware,usa < newJersey,hydrogen,1.2094183302199499e-5,expExc
20th < 2025,usa < delaware,usa < pennsylvania,hydrogen,4.634590464468112e-6,expExc
20th < 2030,usa < delaware,usa < pennsylvania,hydrogen,4.634590464468112e-6,expExc
