timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.008389731616417971,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.008389731616417971,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,8.877707539758065e-6,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,8.877707539758065e-6,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,1.803832237176275e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,1.803832237176275e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,5.3226354218790565e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,5.3226354218790565e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.01569992212571147,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.01569992212571147,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.0003370758938892661,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.0003370758938892661,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.01570622786607058,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.01570622786607058,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,4.0785902135453014e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,4.0785902135453014e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.008438051169136814,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.008438051169136814,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.2633216363012561e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.2633216363012561e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,4.808539250062613e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,4.808539250062613e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,9.951025851589642e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,9.951025851589642e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,1.3508162835971768e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,1.3508162835971768e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1242022735766564,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,1.1242022735766564,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,1.12421662075324,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,1.12421662075324,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,6.988964354056482e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,6.988964354056482e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.035009609237877e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.035009609237877e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.0420290785879927e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.0420290785879927e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.2980279294024832e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.2980279294024832e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,7.789686981211148e-6,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,7.789686981211148e-6,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.4212692166602785e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.4212692166602785e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,1.7091068807871743e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,1.7091068807871743e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,1.1241868018887575,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,1.1241868018887575,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,7.494222505144026e-6,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,7.494222505144026e-6,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,1.1241497358496508,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,1.1241497358496508,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,7.340698404320344e-6,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,7.340698404320344e-6,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,5.4688043748444404e-5,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,5.4688043748444404e-5,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,6.197044044182147e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,6.197044044182147e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,3.27732310390024e-5,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,3.27732310390024e-5,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,1.8626291512512447e-5,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,1.8626291512512447e-5,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,0.1926685099548992,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,0.1926685099548992,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,0.02585904640968825,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,0.02585904640968825,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,0.0018171693723324717,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,0.0018171693723324717,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,5.2962063220685894e-5,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,5.2962063220685894e-5,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,6.258916644258091e-6,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,6.258916644258091e-6,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,6.527386754241673e-6,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,6.527386754241673e-6,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,1.5201268070241492e-5,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,1.5201268070241492e-5,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,8.036459735459409e-6,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,8.036459735459409e-6,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,8.10499841612393e-6,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,8.10499841612393e-6,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,2.9654900515785077e-5,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,2.9654900515785077e-5,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,3.9738538542851676e-5,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,3.9738538542851676e-5,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,0.15934562729042726,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,0.15934562729042726,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,5.822771213114462e-5,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,5.822771213114462e-5,expExc
20th < 2025,usa < california,usa < utah,hydrogen,0.07810100069723766,expExc
20th < 2030,usa < california,usa < utah,hydrogen,0.07810100069723766,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,1.3241982847467584e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,1.3241982847467584e-5,expExc
