timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.004533614109943995,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.004533614109943995,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.3192679855784935e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.3192679855784935e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,4.051521657863452e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,4.051521657863452e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,9.667033162706332e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,9.667033162706332e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.013338658856856065,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.013338658856856065,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.006796653024938945,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.006796653024938945,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.024925189364672033,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.024925189364672033,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,7.906392314681924e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,7.906392314681924e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.0026006238901317433,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.0026006238901317433,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.9500277741555178e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.9500277741555178e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,5.3863197901570513e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,5.3863197901570513e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0002127954686467025,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0002127954686467025,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.03944870791894771,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.03944870791894771,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.6433438909269193,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.6433438909269193,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6827993926141145,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6827993926141145,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.1130002382729627e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.1130002382729627e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.336613055382477e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.336613055382477e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.5896003768860154e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,1.5896003768860154e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.924576716838426e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.924576716838426e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,1.2721239140379151e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,1.2721239140379151e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,1.5661964879300764e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,1.5661964879300764e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,2.3326427473088624e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,2.3326427473088624e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,0.6433236892664879,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,0.6433236892664879,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,1.0582762099429746e-5,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,1.0582762099429746e-5,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,0.6432976790220811,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,0.6432976790220811,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.3023222357261605e-5,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.3023222357261605e-5,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,7.913836201943372e-5,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,7.913836201943372e-5,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,9.92994916966687e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,9.92994916966687e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,4.992494268449754e-5,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,4.992494268449754e-5,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,2.875148260096001e-5,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,2.875148260096001e-5,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,0.0029058469453046606,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,0.0029058469453046606,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,0.0019325185507703267,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,0.0019325185507703267,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,0.00010713936359239325,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,0.00010713936359239325,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,2.94636044011681e-5,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,2.94636044011681e-5,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,9.893846778285628e-6,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,9.893846778285628e-6,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,1.0661120979941937e-5,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,1.0661120979941937e-5,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,2.385066952333863e-5,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,2.385066952333863e-5,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,2.4703875407966698e-5,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,2.4703875407966698e-5,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,1.4514212801872132e-5,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,1.4514212801872132e-5,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,4.648604079011842e-5,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,4.648604079011842e-5,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,8.393023448304349e-5,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,8.393023448304349e-5,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,0.010546279417757187,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,0.010546279417757187,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,3.096011248779925e-5,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,3.096011248779925e-5,expExc
20th < 2025,usa < california,usa < utah,hydrogen,0.0033747382445607297,expExc
20th < 2030,usa < california,usa < utah,hydrogen,0.0033747382445607297,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,1.8848707752092677e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,1.8848707752092677e-5,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,1.9889305867761293e-5,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,1.9889305867761293e-5,expExc
20th < 2025,usa < colorado,usa < newMexico,hydrogen,0.009588429342245795,expExc
20th < 2030,usa < colorado,usa < newMexico,hydrogen,0.009588429342245795,expExc
20th < 2025,usa < colorado,usa < oklahoma,hydrogen,0.015550216585023308,expExc
20th < 2030,usa < colorado,usa < oklahoma,hydrogen,0.015550216585023308,expExc
20th < 2025,usa < colorado,usa < utah,hydrogen,0.007917733569170611,expExc
20th < 2030,usa < colorado,usa < utah,hydrogen,0.007917733569170611,expExc
20th < 2025,usa < colorado,usa < wyoming,hydrogen,4.1474382801335514e-5,expExc
20th < 2030,usa < colorado,usa < wyoming,hydrogen,4.1474382801335514e-5,expExc
20th < 2025,usa < connecticut,usa < massachusetts,hydrogen,2.351039028488189e-5,expExc
20th < 2030,usa < connecticut,usa < massachusetts,hydrogen,2.351039028488189e-5,expExc
20th < 2025,usa < connecticut,usa < newYork,hydrogen,0.0009687354906634937,expExc
20th < 2030,usa < connecticut,usa < newYork,hydrogen,0.0009687354906634937,expExc
20th < 2025,usa < connecticut,usa < rhodeIsland,hydrogen,1.8717262086902064e-5,expExc
20th < 2030,usa < connecticut,usa < rhodeIsland,hydrogen,1.8717262086902064e-5,expExc
