timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.005928009002816062,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.005928009002816062,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,2.0616355075562025e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,2.0616355075562025e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,0.00612052402796158,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,0.00612052402796158,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,0.00020546940069923194,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,0.00020546940069923194,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.00011615456076341496,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.00011615456076341496,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.005217563330648992,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.005217563330648992,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.07433566153030356,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.07433566153030356,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,0.00019622057655369868,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,0.00019622057655369868,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.006410662852522543,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.006410662852522543,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,0.0013538524619145067,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,0.0013538524619145067,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,0.00011183090329092436,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,0.00011183090329092436,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.0008492233611168706,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.0008492233611168706,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.08794201239557195,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.08794201239557195,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.543152289590034e-5,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,5.543152289590034e-5,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6055725939348864,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6055725939348864,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.4626164977884671e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.4626164977884671e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.7118412347428446e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,2.7118412347428446e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,2.3947197829963863e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,2.3947197829963863e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,1.6281400108767897e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,1.6281400108767897e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,2.4736012154309597e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,2.4736012154309597e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.4607840356652155e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,2.4607840356652155e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,4.175472293469602e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,4.175472293469602e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,2.103597983531468e-5,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,2.103597983531468e-5,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,2.7557718368694287e-5,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,2.7557718368694287e-5,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,1.3680674674393404e-5,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,1.3680674674393404e-5,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.5548431825695835e-5,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.5548431825695835e-5,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,1.8104640177822355e-5,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,1.8104640177822355e-5,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,1.3287087419546113e-5,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,1.3287087419546113e-5,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,1.6437375954412836e-5,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,1.6437375954412836e-5,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,1.3682745850402126e-5,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,1.3682745850402126e-5,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,3.205408918699445e-5,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,3.205408918699445e-5,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,0.00014670950003933342,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,0.00014670950003933342,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,0.0014530345933565004,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,0.0014530345933565004,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,0.0011640230321148018,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,0.0011640230321148018,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,5.7353088098116975e-5,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,5.7353088098116975e-5,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,1.3561645142411245e-5,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,1.3561645142411245e-5,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,1.418345710226034e-5,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,1.418345710226034e-5,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,1.7441997179624617e-5,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,1.7441997179624617e-5,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,1.5045306538234699e-5,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,1.5045306538234699e-5,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,1.940405106072333e-5,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,1.940405106072333e-5,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,1.687668184399568e-5,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,1.687668184399568e-5,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,4.58444212784911e-5,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,4.58444212784911e-5,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,1.9778060050967196e-5,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,1.9778060050967196e-5,expExc
20th < 2025,usa < california,usa < utah,hydrogen,0.0004119285670061571,expExc
20th < 2030,usa < california,usa < utah,hydrogen,0.0004119285670061571,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,2.1301259854702885e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,2.1301259854702885e-5,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,1.753120587221968e-5,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,1.753120587221968e-5,expExc
20th < 2025,usa < colorado,usa < newMexico,hydrogen,0.0005223640359556573,expExc
20th < 2030,usa < colorado,usa < newMexico,hydrogen,0.0005223640359556573,expExc
20th < 2025,usa < colorado,usa < oklahoma,hydrogen,0.01801509436651494,expExc
20th < 2030,usa < colorado,usa < oklahoma,hydrogen,0.01801509436651494,expExc
20th < 2025,usa < colorado,usa < utah,hydrogen,0.00013659428218820615,expExc
20th < 2030,usa < colorado,usa < utah,hydrogen,0.00013659428218820615,expExc
20th < 2025,usa < colorado,usa < wyoming,hydrogen,1.431483374899405e-5,expExc
20th < 2030,usa < colorado,usa < wyoming,hydrogen,1.431483374899405e-5,expExc
20th < 2025,usa < connecticut,usa < massachusetts,hydrogen,0.0008584621647542903,expExc
20th < 2030,usa < connecticut,usa < massachusetts,hydrogen,0.0008584621647542903,expExc
20th < 2025,usa < connecticut,usa < newYork,hydrogen,0.005423510441415719,expExc
20th < 2030,usa < connecticut,usa < newYork,hydrogen,0.005423510441415719,expExc
20th < 2025,usa < connecticut,usa < rhodeIsland,hydrogen,3.283976157801271e-5,expExc
20th < 2030,usa < connecticut,usa < rhodeIsland,hydrogen,3.283976157801271e-5,expExc
20th < 2025,usa < delaware,usa < maryland,hydrogen,1.5158139437609421e-5,expExc
20th < 2030,usa < delaware,usa < maryland,hydrogen,1.5158139437609421e-5,expExc
20th < 2025,usa < delaware,usa < newJersey,hydrogen,1.7023870579665204e-5,expExc
20th < 2030,usa < delaware,usa < newJersey,hydrogen,1.7023870579665204e-5,expExc
20th < 2025,usa < delaware,usa < pennsylvania,hydrogen,1.6277350104497612e-5,expExc
20th < 2030,usa < delaware,usa < pennsylvania,hydrogen,1.6277350104497612e-5,expExc
20th < 2025,usa < florida,usa < georgia,hydrogen,1.7106110254172022e-5,expExc
20th < 2030,usa < florida,usa < georgia,hydrogen,1.7106110254172022e-5,expExc
20th < 2025,usa < georgia,usa < northCarolina,hydrogen,1.3473930595672937e-5,expExc
20th < 2030,usa < georgia,usa < northCarolina,hydrogen,1.3473930595672937e-5,expExc
20th < 2025,usa < georgia,usa < southCarolina,hydrogen,1.338861806590155e-5,expExc
20th < 2030,usa < georgia,usa < southCarolina,hydrogen,1.338861806590155e-5,expExc
20th < 2025,usa < georgia,usa < tennessee,hydrogen,1.4083277304339465e-5,expExc
20th < 2030,usa < georgia,usa < tennessee,hydrogen,1.4083277304339465e-5,expExc
20th < 2025,usa < idaho,usa < montana,hydrogen,1.3781225452999264e-5,expExc
20th < 2030,usa < idaho,usa < montana,hydrogen,1.3781225452999264e-5,expExc
20th < 2025,usa < idaho,usa < nevada,hydrogen,0.003035632045647514,expExc
20th < 2030,usa < idaho,usa < nevada,hydrogen,0.003035632045647514,expExc
20th < 2025,usa < idaho,usa < oregon,hydrogen,2.1984585992162612e-5,expExc
20th < 2030,usa < idaho,usa < oregon,hydrogen,2.1984585992162612e-5,expExc
20th < 2025,usa < idaho,usa < utah,hydrogen,0.0006473893491269667,expExc
20th < 2030,usa < idaho,usa < utah,hydrogen,0.0006473893491269667,expExc
20th < 2025,usa < idaho,usa < washington,hydrogen,1.4965680982725076e-5,expExc
20th < 2030,usa < idaho,usa < washington,hydrogen,1.4965680982725076e-5,expExc
20th < 2025,usa < idaho,usa < wyoming,hydrogen,4.06024762603944e-5,expExc
20th < 2030,usa < idaho,usa < wyoming,hydrogen,4.06024762603944e-5,expExc
20th < 2025,usa < illinois,usa < indiana,hydrogen,2.0187266688666364e-5,expExc
20th < 2030,usa < illinois,usa < indiana,hydrogen,2.0187266688666364e-5,expExc
20th < 2025,usa < illinois,usa < iowa,hydrogen,1.5264854588498106e-5,expExc
20th < 2030,usa < illinois,usa < iowa,hydrogen,1.5264854588498106e-5,expExc
20th < 2025,usa < illinois,usa < kentucky,hydrogen,1.5358834971095284e-5,expExc
