timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.0002974537253029214,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.0002974537253029214,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.081625469957617e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.081625469957617e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,2.802622288139871e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,2.802622288139871e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,4.760622174752986e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,4.760622174752986e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,4.84026360656872e-5,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,4.84026360656872e-5,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.0035270530936183744,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.0035270530936183744,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.011914425426758333,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.011914425426758333,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,4.2478417486971015e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,4.2478417486971015e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.0001363332764033302,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.0001363332764033302,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,2.8009352695633985e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,2.8009352695633985e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,3.954895022068051e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,3.954895022068051e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,4.7001747699069955e-5,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,4.7001747699069955e-5,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.13500331670093857,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.13500331670093857,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.0001177133100510922,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.0001177133100510922,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.7442723936928909,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.7442723936928909,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,9.901005256756055e-6,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,9.901005256756055e-6,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,2.4953557157708563e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,2.4953557157708563e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,2.215391240206316e-5,expExc
20th < 2030,mexico < central,mexico < oriental,hydrogen,2.215391240206316e-5,expExc
20th < 2025,mexico < noreste,mexico < norte,hydrogen,2.5848451465100236e-5,expExc
20th < 2030,mexico < noreste,mexico < norte,hydrogen,2.5848451465100236e-5,expExc
20th < 2025,mexico < noreste,mexico < occidental,hydrogen,2.7347559402180232e-5,expExc
20th < 2030,mexico < noreste,mexico < occidental,hydrogen,2.7347559402180232e-5,expExc
20th < 2025,mexico < noreste,mexico < oriental,hydrogen,2.508868533205459e-5,expExc
20th < 2030,mexico < noreste,mexico < oriental,hydrogen,2.508868533205459e-5,expExc
20th < 2025,mexico < noroeste,mexico < norte,hydrogen,6.301221908719798e-5,expExc
20th < 2030,mexico < noroeste,mexico < norte,hydrogen,6.301221908719798e-5,expExc
20th < 2025,mexico < noroeste,mexico < occidental,hydrogen,4.745132617666234e-5,expExc
20th < 2030,mexico < noroeste,mexico < occidental,hydrogen,4.745132617666234e-5,expExc
20th < 2025,mexico < norte,mexico < occidental,hydrogen,2.345454910306955e-5,expExc
20th < 2030,mexico < norte,mexico < occidental,hydrogen,2.345454910306955e-5,expExc
20th < 2025,mexico < occidental,mexico < oriental,hydrogen,2.350322038628408e-5,expExc
20th < 2030,mexico < occidental,mexico < oriental,hydrogen,2.350322038628408e-5,expExc
20th < 2025,mexico < oriental,mexico < peninsular,hydrogen,1.0584595889314521e-5,expExc
20th < 2030,mexico < oriental,mexico < peninsular,hydrogen,1.0584595889314521e-5,expExc
20th < 2025,usa < alabama,usa < florida,hydrogen,0.00019153550433587737,expExc
20th < 2030,usa < alabama,usa < florida,hydrogen,0.00019153550433587737,expExc
20th < 2025,usa < alabama,usa < georgia,hydrogen,8.65475469242375e-6,expExc
20th < 2030,usa < alabama,usa < georgia,hydrogen,8.65475469242375e-6,expExc
20th < 2025,usa < alabama,usa < mississippi,hydrogen,8.174331162034878e-5,expExc
20th < 2030,usa < alabama,usa < mississippi,hydrogen,8.174331162034878e-5,expExc
20th < 2025,usa < alabama,usa < tennessee,hydrogen,4.888328695168027e-5,expExc
20th < 2030,usa < alabama,usa < tennessee,hydrogen,4.888328695168027e-5,expExc
20th < 2025,usa < arizona,usa < california,hydrogen,1.1407652820896248e-5,expExc
20th < 2030,usa < arizona,usa < california,hydrogen,1.1407652820896248e-5,expExc
20th < 2025,usa < arizona,usa < colorado,hydrogen,1.314458128931984e-5,expExc
20th < 2030,usa < arizona,usa < colorado,hydrogen,1.314458128931984e-5,expExc
20th < 2025,usa < arizona,usa < nevada,hydrogen,0.0012324433201048256,expExc
20th < 2030,usa < arizona,usa < nevada,hydrogen,0.0012324433201048256,expExc
20th < 2025,usa < arizona,usa < newMexico,hydrogen,4.050523171006072e-5,expExc
20th < 2030,usa < arizona,usa < newMexico,hydrogen,4.050523171006072e-5,expExc
20th < 2025,usa < arizona,usa < utah,hydrogen,1.3218206815121738e-5,expExc
20th < 2030,usa < arizona,usa < utah,hydrogen,1.3218206815121738e-5,expExc
20th < 2025,usa < arkansas,usa < louisiana,hydrogen,8.759882747099105e-6,expExc
20th < 2030,usa < arkansas,usa < louisiana,hydrogen,8.759882747099105e-6,expExc
20th < 2025,usa < arkansas,usa < mississippi,hydrogen,3.198516087248241e-5,expExc
20th < 2030,usa < arkansas,usa < mississippi,hydrogen,3.198516087248241e-5,expExc
20th < 2025,usa < arkansas,usa < missouri,hydrogen,1.0574948483280258e-5,expExc
20th < 2030,usa < arkansas,usa < missouri,hydrogen,1.0574948483280258e-5,expExc
20th < 2025,usa < arkansas,usa < oklahoma,hydrogen,1.4104443056990226e-5,expExc
20th < 2030,usa < arkansas,usa < oklahoma,hydrogen,1.4104443056990226e-5,expExc
20th < 2025,usa < arkansas,usa < tennessee,hydrogen,5.575161181388979e-5,expExc
20th < 2030,usa < arkansas,usa < tennessee,hydrogen,5.575161181388979e-5,expExc
20th < 2025,usa < arkansas,usa < texas,hydrogen,5.418540871410573e-5,expExc
20th < 2030,usa < arkansas,usa < texas,hydrogen,5.418540871410573e-5,expExc
20th < 2025,usa < california,usa < nevada,hydrogen,4.90460303305574e-5,expExc
20th < 2030,usa < california,usa < nevada,hydrogen,4.90460303305574e-5,expExc
20th < 2025,usa < california,usa < oregon,hydrogen,1.2448793945099467e-5,expExc
20th < 2030,usa < california,usa < oregon,hydrogen,1.2448793945099467e-5,expExc
20th < 2025,usa < california,usa < utah,hydrogen,4.438738248771076e-5,expExc
20th < 2030,usa < california,usa < utah,hydrogen,4.438738248771076e-5,expExc
20th < 2025,usa < colorado,usa < kansas,hydrogen,1.7194211173140882e-5,expExc
20th < 2030,usa < colorado,usa < kansas,hydrogen,1.7194211173140882e-5,expExc
20th < 2025,usa < colorado,usa < nebraska,hydrogen,1.738925366105432e-5,expExc
20th < 2030,usa < colorado,usa < nebraska,hydrogen,1.738925366105432e-5,expExc
20th < 2025,usa < colorado,usa < newMexico,hydrogen,3.043374029053793e-5,expExc
20th < 2030,usa < colorado,usa < newMexico,hydrogen,3.043374029053793e-5,expExc
20th < 2025,usa < colorado,usa < oklahoma,hydrogen,0.00382218277519168,expExc
20th < 2030,usa < colorado,usa < oklahoma,hydrogen,0.00382218277519168,expExc
20th < 2025,usa < colorado,usa < utah,hydrogen,0.0019975262030812227,expExc
20th < 2030,usa < colorado,usa < utah,hydrogen,0.0019975262030812227,expExc
20th < 2025,usa < colorado,usa < wyoming,hydrogen,3.5648517431432575e-5,expExc
20th < 2030,usa < colorado,usa < wyoming,hydrogen,3.5648517431432575e-5,expExc
20th < 2025,usa < connecticut,usa < massachusetts,hydrogen,0.005028689475380671,expExc
20th < 2030,usa < connecticut,usa < massachusetts,hydrogen,0.005028689475380671,expExc
20th < 2025,usa < connecticut,usa < newYork,hydrogen,2.9552585918613558e-5,expExc
20th < 2030,usa < connecticut,usa < newYork,hydrogen,2.9552585918613558e-5,expExc
20th < 2025,usa < connecticut,usa < rhodeIsland,hydrogen,1.9834084672924444e-5,expExc
20th < 2030,usa < connecticut,usa < rhodeIsland,hydrogen,1.9834084672924444e-5,expExc
20th < 2025,usa < delaware,usa < maryland,hydrogen,8.904047801628204e-6,expExc
