timestep_superordinate_dispatch,region_from,region_to,carrier,value,variable
20th < 2025,canada < canada_,usa < idaho,hydrogen,0.0046252843947526745,expExc
20th < 2030,canada < canada_,usa < idaho,hydrogen,0.0046252843947526745,expExc
20th < 2025,canada < canada_,usa < maine,hydrogen,1.2986344291220219e-5,expExc
20th < 2030,canada < canada_,usa < maine,hydrogen,1.2986344291220219e-5,expExc
20th < 2025,canada < canada_,usa < michigan,hydrogen,3.879218283506424e-5,expExc
20th < 2030,canada < canada_,usa < michigan,hydrogen,3.879218283506424e-5,expExc
20th < 2025,canada < canada_,usa < minnesota,hydrogen,9.279458104263563e-5,expExc
20th < 2030,canada < canada_,usa < minnesota,hydrogen,9.279458104263563e-5,expExc
20th < 2025,canada < canada_,usa < montana,hydrogen,0.013038520431233358,expExc
20th < 2030,canada < canada_,usa < montana,hydrogen,0.013038520431233358,expExc
20th < 2025,canada < canada_,usa < newHampshire,hydrogen,0.006843456877243547,expExc
20th < 2030,canada < canada_,usa < newHampshire,hydrogen,0.006843456877243547,expExc
20th < 2025,canada < canada_,usa < newYork,hydrogen,0.024766828992918415,expExc
20th < 2030,canada < canada_,usa < newYork,hydrogen,0.024766828992918415,expExc
20th < 2025,canada < canada_,usa < northDakota,hydrogen,7.765995216038325e-5,expExc
20th < 2030,canada < canada_,usa < northDakota,hydrogen,7.765995216038325e-5,expExc
20th < 2025,canada < canada_,usa < ohio,hydrogen,0.0026944286947438176,expExc
20th < 2030,canada < canada_,usa < ohio,hydrogen,0.0026944286947438176,expExc
20th < 2025,canada < canada_,usa < vermont,hydrogen,1.837034544499961e-5,expExc
20th < 2030,canada < canada_,usa < vermont,hydrogen,1.837034544499961e-5,expExc
20th < 2025,canada < canada_,usa < washington,hydrogen,5.174112137877812e-5,expExc
20th < 2030,canada < canada_,usa < washington,hydrogen,5.174112137877812e-5,expExc
20th < 2025,canada < canada_,usa < wisconsin,hydrogen,0.00021963219600797964,expExc
20th < 2030,canada < canada_,usa < wisconsin,hydrogen,0.00021963219600797964,expExc
20th < 2025,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.039350120402315364,expExc
20th < 2030,mexico < bajaCalifornia,mexico < bajaCaliforniaSur,hydrogen,0.039350120402315364,expExc
20th < 2025,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.6432710089781661,expExc
20th < 2030,mexico < bajaCalifornia,mexico < noroeste,hydrogen,0.6432710089781661,expExc
20th < 2025,mexico < bajaCalifornia,usa < california,hydrogen,0.6826282257119749,expExc
20th < 2030,mexico < bajaCalifornia,usa < california,hydrogen,0.6826282257119749,expExc
20th < 2025,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.0895898684467317e-5,expExc
20th < 2030,mexico < bajaCaliforniaSur,mexico < noroeste,hydrogen,1.0895898684467317e-5,expExc
20th < 2025,mexico < central,mexico < occidental,hydrogen,1.29782067373068e-5,expExc
20th < 2030,mexico < central,mexico < occidental,hydrogen,1.29782067373068e-5,expExc
20th < 2025,mexico < central,mexico < oriental,hydrogen,1.563827177457137e-5,expExc
