technology_4,timestep_2,parameter_1,value_1,parameter_2,value_2,comment
chpBiomassCcs,2015,costExpConv,1352.032,costOprConv,31.096,
chpBiomassCcs,2020,costExpConv,1215.72,costOprConv,27.96,
chpBiomassCcs,2025,costExpConv,1158.616,costOprConv,26.648,
chpBiomassCcs,2030,costExpConv,1101.52,costOprConv,25.336,
chpBiomassCcs,2035,costExpConv,1057.312,costOprConv,24.32,
chpBiomassCcs,2040,costExpConv,1013.104,costOprConv,23.304,
chpBiomassCcs,2045,costExpConv,974.416,costOprConv,22.408,
chpBiomassCcs,2050,costExpConv,935.736,costOprConv,21.52,
pBiomassCcs,2015,costExpConv,1270.592,costOprConv,27.952,
pBiomassCcs,2020,costExpConv,1151.88,costOprConv,25.344,
pBiomassCcs,2025,costExpConv,1096.928,costOprConv,24.136,
pBiomassCcs,2030,costExpConv,1041.968,costOprConv,22.92,
pBiomassCcs,2035,costExpConv,993.608,costOprConv,21.856,
pBiomassCcs,2040,costExpConv,945.248,costOprConv,20.792,
pBiomassCcs,2045,costExpConv,901.28,costOprConv,19.832,
pBiomassCcs,2050,costExpConv,857.32,costOprConv,18.864,
xElectrolysis,2015,costExpConv,539.9,costOprConv,21.6,
xElectrolysis,2020,costExpConv,462.29,costOprConv,18.22,
xElectrolysis,2025,costExpConv,337.44,costOprConv,13.5,
xElectrolysis,2030,costExpConv,256.45,costOprConv,10.12,
xElectrolysis,2035,costExpConv,229.46,costOprConv,9.45,
xElectrolysis,2040,costExpConv,209.21,costOprConv,8.1,
xElectrolysis,2045,costExpConv,188.97,costOprConv,7.42,
xElectrolysis,2050,costExpConv,175.47,costOprConv,6.75,
xFuelCell,2015,costExpConv,1583.07,costOprConv,0,
xFuelCell,2020,costExpConv,1188.41,costOprConv,0,
xFuelCell,2025,costExpConv,1055.38,costOprConv,0,
xFuelCell,2030,costExpConv,922.35,costOprConv,0,
xFuelCell,2035,costExpConv,875.79,costOprConv,0,
xFuelCell,2040,costExpConv,829.23,costOprConv,0,
xFuelCell,2045,costExpConv,800.4,costOprConv,0,
xFuelCell,2050,costExpConv,771.58,costOprConv,0,
pHydrogen,2015,costExpConv,383.26,costOprConv,9.58,
pHydrogen,2020,costExpConv,374.83,costOprConv,9.37,
pHydrogen,2025,costExpConv,366.41,costOprConv,9.16,
pHydrogen,2030,costExpConv,357.99,costOprConv,8.95,
pHydrogen,2035,costExpConv,349.56,costOprConv,8.74,
pHydrogen,2040,costExpConv,341.14,costOprConv,8.53,
pHydrogen,2045,costExpConv,332.72,costOprConv,8.32,
pHydrogen,2050,costExpConv,324.29,costOprConv,8.11,
xDac,2015,costExpConv,10000,costOprConv,495,
xDac,2020,costExpConv,10000,costOprConv,495,
xDac,2025,costExpConv,10000,costOprConv,495,
xDac,2030,costExpConv,8571.428571,costOprConv,424.2857143,
xDac,2035,costExpConv,7857.142857,costOprConv,388.9285714,
xDac,2040,costExpConv,7142.857143,costOprConv,353.5714286,
xDac,2045,costExpConv,6428.571429,costOprConv,318.2142857,
xDac,2050,costExpConv,5714.285714,costOprConv,282.8571429,
