timestep_2,carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2
all,hydrogen,nevada,oregon,costExpExc,166,capaExcResi,0
all,hydrogen,nevada,utah,costExpExc,166,capaExcResi,0
all,hydrogen,newHampshire,maine,costExpExc,166,capaExcResi,0
all,hydrogen,newHampshire,massachusetts,costExpExc,166,capaExcResi,0
all,hydrogen,newHampshire,vermont,costExpExc,166,capaExcResi,0
all,hydrogen,newJersey,delaware,costExpExc,166,capaExcResi,0
all,hydrogen,newJersey,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,newJersey,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,newMexico,arizona,costExpExc,166,capaExcResi,0
all,hydrogen,newMexico,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,newMexico,texas,costExpExc,166,capaExcResi,0
all,hydrogen,newMexico,utah,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,connecticut,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,massachusetts,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,newJersey,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,vermont,costExpExc,166,capaExcResi,0
all,hydrogen,noreste,norte,costExpExc,166,capaExcResi,0
all,hydrogen,noroeste,norte,costExpExc,166,capaExcResi,0
all,hydrogen,norte,noreste,costExpExc,166,capaExcResi,0
all,hydrogen,norte,noroeste,costExpExc,166,capaExcResi,0
all,hydrogen,northCarolina,georgia,costExpExc,166,capaExcResi,0
all,hydrogen,northCarolina,southCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,northCarolina,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,northCarolina,virginia,costExpExc,166,capaExcResi,0
all,hydrogen,northDakota,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,northDakota,minnesota,costExpExc,166,capaExcResi,0
all,hydrogen,northDakota,montana,costExpExc,166,capaExcResi,0
all,hydrogen,northDakota,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,occidental,central,costExpExc,166,capaExcResi,0
all,hydrogen,occidental,noreste,costExpExc,166,capaExcResi,0
all,hydrogen,occidental,noroeste,costExpExc,166,capaExcResi,0
all,hydrogen,occidental,norte,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,indiana,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,michigan,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,westVirginia,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,kansas,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,texas,costExpExc,166,capaExcResi,0
all,hydrogen,oregon,california,costExpExc,166,capaExcResi,0
all,hydrogen,oregon,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,oregon,nevada,costExpExc,166,capaExcResi,0
all,hydrogen,oregon,washington,costExpExc,166,capaExcResi,0
all,hydrogen,oriental,central,costExpExc,166,capaExcResi,0
all,hydrogen,oriental,noreste,costExpExc,166,capaExcResi,0
all,hydrogen,oriental,occidental,costExpExc,166,capaExcResi,0
all,hydrogen,peninsular,oriental,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,delaware,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,maryland,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,newJersey,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,pennsylvania,westVirginia,costExpExc,166,capaExcResi,0
all,hydrogen,rhodeIsland,connecticut,costExpExc,166,capaExcResi,0
all,hydrogen,rhodeIsland,massachusetts,costExpExc,166,capaExcResi,0
all,hydrogen,southCarolina,georgia,costExpExc,166,capaExcResi,0
all,hydrogen,southCarolina,northCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,minnesota,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,northDakota,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,alabama,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,georgia,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,mississippi,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,northCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,tennessee,virginia,costExpExc,166,capaExcResi,0
all,hydrogen,texas,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,texas,louisiana,costExpExc,166,capaExcResi,0
all,hydrogen,texas,newMexico,costExpExc,166,capaExcResi,0
all,hydrogen,texas,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,utah,arizona,costExpExc,166,capaExcResi,0
all,hydrogen,utah,california,costExpExc,166,capaExcResi,0
all,hydrogen,utah,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,utah,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,utah,nevada,costExpExc,166,capaExcResi,0
all,hydrogen,utah,newMexico,costExpExc,166,capaExcResi,0
all,hydrogen,utah,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,vermont,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,vermont,massachusetts,costExpExc,166,capaExcResi,0
all,hydrogen,vermont,newHampshire,costExpExc,166,capaExcResi,0
all,hydrogen,vermont,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,virginia,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,virginia,maryland,costExpExc,166,capaExcResi,0
all,hydrogen,virginia,northCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,virginia,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,virginia,westVirginia,costExpExc,166,capaExcResi,0
all,hydrogen,washington,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,washington,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,washington,oregon,costExpExc,166,capaExcResi,0
all,hydrogen,westVirginia,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,westVirginia,maryland,costExpExc,166,capaExcResi,0
all,hydrogen,westVirginia,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,westVirginia,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,westVirginia,virginia,costExpExc,166,capaExcResi,0
all,hydrogen,wisconsin,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,wisconsin,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,wisconsin,michigan,costExpExc,166,capaExcResi,0
all,hydrogen,wisconsin,minnesota,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,montana,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,wyoming,utah,costExpExc,166,capaExcResi,0
all,hydrogen,arizona,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,bajaCalifornia,bajaCaliforniaSur,costExpExc,166,capaExcResi,0
all,hydrogen,bajaCalifornia,noroeste,costExpExc,166,capaExcResi,0
all,hydrogen,bajaCaliforniaSur,bajaCalifornia,costExpExc,166,capaExcResi,0
all,hydrogen,bajaCaliforniaSur,noroeste,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,newHampshire,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,wisconsin,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,arizona,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,michigan,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,michigan,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,montana,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,newHampshire,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,newMexico,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,newYork,rhodeIsland,costExpExc,166,capaExcResi,0
all,hydrogen,noroeste,bajaCalifornia,costExpExc,166,capaExcResi,0
all,hydrogen,noroeste,bajaCaliforniaSur,costExpExc,166,capaExcResi,0
all,hydrogen,ohio,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,oklahoma,newMexico,costExpExc,166,capaExcResi,0
all,hydrogen,rhodeIsland,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,southDakota,montana,costExpExc,166,capaExcResi,0
all,hydrogen,wisconsin,canada_,costExpExc,166,capaExcResi,0
