timestep_2,carrier_1,region_2,region_2,parameter_1,value_1,parameter_2,value_2
all,hydrogen,alabama,florida,costExpExc,166,capaExcResi,0
all,hydrogen,alabama,georgia,costExpExc,166,capaExcResi,0
all,hydrogen,alabama,mississippi,costExpExc,166,capaExcResi,0
all,hydrogen,alabama,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,arizona,california,costExpExc,166,capaExcResi,0
all,hydrogen,arizona,nevada,costExpExc,166,capaExcResi,0
all,hydrogen,arizona,newMexico,costExpExc,166,capaExcResi,0
all,hydrogen,arizona,utah,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,louisiana,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,mississippi,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,arkansas,texas,costExpExc,166,capaExcResi,0
all,hydrogen,bajaCalifornia,california,costExpExc,166,capaExcResi,0
all,hydrogen,california,arizona,costExpExc,166,capaExcResi,0
all,hydrogen,california,bajaCalifornia,costExpExc,166,capaExcResi,0
all,hydrogen,california,nevada,costExpExc,166,capaExcResi,0
all,hydrogen,california,oregon,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,maine,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,michigan,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,minnesota,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,montana,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,northDakota,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,vermont,costExpExc,166,capaExcResi,0
all,hydrogen,canada_,washington,costExpExc,166,capaExcResi,0
all,hydrogen,central,occidental,costExpExc,166,capaExcResi,0
all,hydrogen,central,oriental,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,kansas,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,newMexico,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,utah,costExpExc,166,capaExcResi,0
all,hydrogen,colorado,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,connecticut,massachusetts,costExpExc,166,capaExcResi,0
all,hydrogen,connecticut,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,connecticut,rhodeIsland,costExpExc,166,capaExcResi,0
all,hydrogen,delaware,maryland,costExpExc,166,capaExcResi,0
all,hydrogen,delaware,newJersey,costExpExc,166,capaExcResi,0
all,hydrogen,delaware,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,florida,alabama,costExpExc,166,capaExcResi,0
all,hydrogen,florida,georgia,costExpExc,166,capaExcResi,0
all,hydrogen,georgia,alabama,costExpExc,166,capaExcResi,0
all,hydrogen,georgia,florida,costExpExc,166,capaExcResi,0
all,hydrogen,georgia,northCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,georgia,southCarolina,costExpExc,166,capaExcResi,0
all,hydrogen,georgia,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,montana,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,nevada,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,oregon,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,utah,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,washington,costExpExc,166,capaExcResi,0
all,hydrogen,idaho,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,indiana,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,illinois,wisconsin,costExpExc,166,capaExcResi,0
all,hydrogen,indiana,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,indiana,kentucky,costExpExc,166,capaExcResi,0
all,hydrogen,indiana,michigan,costExpExc,166,capaExcResi,0
all,hydrogen,indiana,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,minnesota,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,iowa,wisconsin,costExpExc,166,capaExcResi,0
all,hydrogen,kansas,colorado,costExpExc,166,capaExcResi,0
all,hydrogen,kansas,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,kansas,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,kansas,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,indiana,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,virginia,costExpExc,166,capaExcResi,0
all,hydrogen,kentucky,westVirginia,costExpExc,166,capaExcResi,0
all,hydrogen,louisiana,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,louisiana,mississippi,costExpExc,166,capaExcResi,0
all,hydrogen,louisiana,texas,costExpExc,166,capaExcResi,0
all,hydrogen,maine,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,maine,newHampshire,costExpExc,166,capaExcResi,0
all,hydrogen,maryland,delaware,costExpExc,166,capaExcResi,0
all,hydrogen,maryland,pennsylvania,costExpExc,166,capaExcResi,0
all,hydrogen,maryland,virginia,costExpExc,166,capaExcResi,0
all,hydrogen,maryland,westVirginia,costExpExc,166,capaExcResi,0
all,hydrogen,massachusetts,connecticut,costExpExc,166,capaExcResi,0
all,hydrogen,massachusetts,newHampshire,costExpExc,166,capaExcResi,0
all,hydrogen,massachusetts,newYork,costExpExc,166,capaExcResi,0
all,hydrogen,massachusetts,rhodeIsland,costExpExc,166,capaExcResi,0
all,hydrogen,massachusetts,vermont,costExpExc,166,capaExcResi,0
all,hydrogen,michigan,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,michigan,indiana,costExpExc,166,capaExcResi,0
all,hydrogen,michigan,ohio,costExpExc,166,capaExcResi,0
all,hydrogen,michigan,wisconsin,costExpExc,166,capaExcResi,0
all,hydrogen,minnesota,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,minnesota,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,minnesota,northDakota,costExpExc,166,capaExcResi,0
all,hydrogen,minnesota,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,minnesota,wisconsin,costExpExc,166,capaExcResi,0
all,hydrogen,mississippi,alabama,costExpExc,166,capaExcResi,0
all,hydrogen,mississippi,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,mississippi,louisiana,costExpExc,166,capaExcResi,0
all,hydrogen,mississippi,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,arkansas,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,illinois,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,kansas,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,nebraska,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,oklahoma,costExpExc,166,capaExcResi,0
all,hydrogen,missouri,tennessee,costExpExc,166,capaExcResi,0
all,hydrogen,montana,canada_,costExpExc,166,capaExcResi,0
all,hydrogen,montana,idaho,costExpExc,166,capaExcResi,0
all,hydrogen,montana,northDakota,costExpExc,166,capaExcResi,0
all,hydrogen,montana,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,iowa,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,kansas,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,missouri,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,southDakota,costExpExc,166,capaExcResi,0
all,hydrogen,nebraska,wyoming,costExpExc,166,capaExcResi,0
all,hydrogen,nevada,arizona,costExpExc,166,capaExcResi,0
all,hydrogen,nevada,california,costExpExc,166,capaExcResi,0
all,hydrogen,nevada,idaho,costExpExc,166,capaExcResi,0
