region_1,region_2,technology_4,timestep_2,parameter,value,comment
canada,canada_,frtRailConv,2020,capaConvResi,2.68,
canada,canada_,frtRailElectric,2020,capaConvResi,0.503,
canada,canada_,frtRoadIce,2020,capaConvResi,19.972,
canada,canada_,frtRoadBev,2020,capaConvResi,0.001,
canada,canada_,frtRoadOh,2020,capaConvResi,0.162,
canada,canada_,frtRoadH2,2020,capaConvResi,0.001,
canada,canada_,frtShipConv,2020,capaConvResi,0.077,
canada,canada_,frtShipBio,2020,capaConvResi,0.009,
canada,canada_,psngAirConv,2020,capaConvResi,51.563,
canada,canada_,psngAirBio,2020,capaConvResi,0.001,
canada,canada_,psngAirH2,2020,capaConvResi,0.355,
canada,canada_,psngRailConv,2020,capaConvResi,2.445,
canada,canada_,psngRailElectric,2020,capaConvResi,17.752,
canada,canada_,psngRoadIce,2020,capaConvResi,164.426,
canada,canada_,psngRoadBev,2020,capaConvResi,2.7,
canada,canada_,psngRoadH2,2020,capaConvResi,0.001,
mexico,bajaCalifornia,frtRailConv,2020,capaConvResi,0,
mexico,bajaCalifornia,frtRailElectric,2020,capaConvResi,0,
mexico,bajaCalifornia,frtRoadIce,2020,capaConvResi,0.339,
mexico,bajaCalifornia,frtRoadBev,2020,capaConvResi,0.001,
mexico,bajaCalifornia,frtRoadOh,2020,capaConvResi,0.005,
mexico,bajaCalifornia,frtRoadH2,2020,capaConvResi,0.001,
mexico,bajaCalifornia,frtShipConv,2020,capaConvResi,0.005,
mexico,bajaCalifornia,frtShipBio,2020,capaConvResi,0.001,
mexico,bajaCalifornia,psngAirConv,2020,capaConvResi,0.629,
mexico,bajaCalifornia,psngAirBio,2020,capaConvResi,0.001,
mexico,bajaCalifornia,psngAirH2,2020,capaConvResi,0.012,
mexico,bajaCalifornia,psngRailConv,2020,capaConvResi,0.001,
mexico,bajaCalifornia,psngRailElectric,2020,capaConvResi,0.037,
mexico,bajaCalifornia,psngRoadIce,2020,capaConvResi,0.718,
mexico,bajaCalifornia,psngRoadBev,2020,capaConvResi,0.022,
mexico,bajaCalifornia,psngRoadH2,2020,capaConvResi,0.001,
mexico,bajaCaliforniaSur,frtRailConv,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtRailElectric,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtRoadIce,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtRoadBev,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtRoadOh,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtRoadH2,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtShipConv,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,frtShipBio,2020,capaConvResi,0,
mexico,bajaCaliforniaSur,psngAirConv,2020,capaConvResi,0.658,
mexico,bajaCaliforniaSur,psngAirBio,2020,capaConvResi,0.022,
mexico,bajaCaliforniaSur,psngAirH2,2020,capaConvResi,0.001,
mexico,bajaCaliforniaSur,psngRailConv,2020,capaConvResi,0.001,
mexico,bajaCaliforniaSur,psngRailElectric,2020,capaConvResi,0.041,
mexico,bajaCaliforniaSur,psngRoadIce,2020,capaConvResi,0.832,
mexico,bajaCaliforniaSur,psngRoadBev,2020,capaConvResi,0.001,
mexico,bajaCaliforniaSur,psngRoadH2,2020,capaConvResi,0.001,
mexico,central,frtRailConv,2020,capaConvResi,0.001,
mexico,central,frtRailElectric,2020,capaConvResi,0.032,
mexico,central,frtRoadIce,2020,capaConvResi,4.689,
mexico,central,frtRoadBev,2020,capaConvResi,0.001,
mexico,central,frtRoadOh,2020,capaConvResi,0.035,
mexico,central,frtRoadH2,2020,capaConvResi,0.001,
mexico,central,frtShipConv,2020,capaConvResi,0.058,
mexico,central,frtShipBio,2020,capaConvResi,0.001,
mexico,central,psngAirConv,2020,capaConvResi,7.89,
mexico,central,psngAirBio,2020,capaConvResi,0.181,
mexico,central,psngAirH2,2020,capaConvResi,0.021,
mexico,central,psngRailConv,2020,capaConvResi,0.001,
mexico,central,psngRailElectric,2020,capaConvResi,0.123,
mexico,central,psngRoadIce,2020,capaConvResi,23.529,
mexico,central,psngRoadBev,2020,capaConvResi,0.731,
mexico,central,psngRoadH2,2020,capaConvResi,0.001,
mexico,noreste,frtRailConv,2020,capaConvResi,0.001,
mexico,noreste,frtRailElectric,2020,capaConvResi,0.012,
mexico,noreste,frtRoadIce,2020,capaConvResi,1.699,
mexico,noreste,frtRoadBev,2020,capaConvResi,0.001,
mexico,noreste,frtRoadOh,2020,capaConvResi,0.012,
mexico,noreste,frtRoadH2,2020,capaConvResi,0.001,
mexico,noreste,frtShipConv,2020,capaConvResi,0.02,
mexico,noreste,frtShipBio,2020,capaConvResi,0.003,
mexico,noreste,psngAirConv,2020,capaConvResi,1.92,
mexico,noreste,psngAirBio,2020,capaConvResi,0.042,
mexico,noreste,psngAirH2,2020,capaConvResi,0.001,
mexico,noreste,psngRailConv,2020,capaConvResi,0.001,
mexico,noreste,psngRailElectric,2020,capaConvResi,0.028,
mexico,noreste,psngRoadIce,2020,capaConvResi,1.872,
mexico,noreste,psngRoadBev,2020,capaConvResi,0.012,
mexico,noreste,psngRoadH2,2020,capaConvResi,0.001,
mexico,noroeste,frtRailConv,2020,capaConvResi,0.001,
mexico,noroeste,frtRailElectric,2020,capaConvResi,0.02,
mexico,noroeste,frtRoadIce,2020,capaConvResi,0.616,
mexico,noroeste,frtRoadBev,2020,capaConvResi,0.001,
mexico,noroeste,frtRoadOh,2020,capaConvResi,0.007,
mexico,noroeste,frtRoadH2,2020,capaConvResi,0.001,
mexico,noroeste,frtShipConv,2020,capaConvResi,0.005,
mexico,noroeste,frtShipBio,2020,capaConvResi,0.005,
mexico,noroeste,psngAirConv,2020,capaConvResi,1.515,
mexico,noroeste,psngAirBio,2020,capaConvResi,0.001,
mexico,noroeste,psngAirH2,2020,capaConvResi,0.001,
mexico,noroeste,psngRailConv,2020,capaConvResi,0.001,
mexico,noroeste,psngRailElectric,2020,capaConvResi,0.098,
mexico,noroeste,psngRoadIce,2020,capaConvResi,1.982,
mexico,noroeste,psngRoadBev,2020,capaConvResi,0.037,
mexico,noroeste,psngRoadH2,2020,capaConvResi,0.001,
mexico,norte,frtRailConv,2020,capaConvResi,0.001,
mexico,norte,frtRailElectric,2020,capaConvResi,0.044,
mexico,norte,frtRoadIce,2020,capaConvResi,0.776,
mexico,norte,frtRoadBev,2020,capaConvResi,0.001,
mexico,norte,frtRoadOh,2020,capaConvResi,0.007,
mexico,norte,frtRoadH2,2020,capaConvResi,0.001,
mexico,norte,frtShipConv,2020,capaConvResi,0.01,
mexico,norte,frtShipBio,2020,capaConvResi,0.001,
mexico,norte,psngAirConv,2020,capaConvResi,1.619,
mexico,norte,psngAirBio,2020,capaConvResi,0.096,
mexico,norte,psngAirH2,2020,capaConvResi,0.001,
mexico,norte,psngRailConv,2020,capaConvResi,0.001,
mexico,norte,psngRailElectric,2020,capaConvResi,0.059,
mexico,norte,psngRoadIce,2020,capaConvResi,2.479,
mexico,norte,psngRoadBev,2020,capaConvResi,0.016,
mexico,norte,psngRoadH2,2020,capaConvResi,0.001,
mexico,occidental,frtRailConv,2020,capaConvResi,0.001,
