region_1,region_2,technology_4,timestep_2,parameter,value,comment
mexico,occidental,frtRailElectric,2020,capaConvResi,0.071,
mexico,occidental,frtRoadIce,2020,capaConvResi,2.555,
mexico,occidental,frtRoadBev,2020,capaConvResi,0.001,
mexico,occidental,frtRoadOh,2020,capaConvResi,0.024,
mexico,occidental,frtRoadH2,2020,capaConvResi,0.001,
mexico,occidental,frtShipConv,2020,capaConvResi,0.034,
mexico,occidental,frtShipBio,2020,capaConvResi,0.005,
mexico,occidental,psngAirConv,2020,capaConvResi,7.346,
mexico,occidental,psngAirBio,2020,capaConvResi,0.001,
mexico,occidental,psngAirH2,2020,capaConvResi,0.026,
mexico,occidental,psngRailConv,2020,capaConvResi,0.001,
mexico,occidental,psngRailElectric,2020,capaConvResi,0.167,
mexico,occidental,psngRoadIce,2020,capaConvResi,13.548,
mexico,occidental,psngRoadBev,2020,capaConvResi,0.37,
mexico,occidental,psngRoadH2,2020,capaConvResi,0.001,
mexico,oriental,frtRailConv,2020,capaConvResi,0.001,
mexico,oriental,frtRailElectric,2020,capaConvResi,0.04,
mexico,oriental,frtRoadIce,2020,capaConvResi,1.447,
mexico,oriental,frtRoadBev,2020,capaConvResi,0.001,
mexico,oriental,frtRoadOh,2020,capaConvResi,0.014,
mexico,oriental,frtRoadH2,2020,capaConvResi,0.001,
mexico,oriental,frtShipConv,2020,capaConvResi,0.02,
mexico,oriental,frtShipBio,2020,capaConvResi,0.001,
mexico,oriental,psngAirConv,2020,capaConvResi,4.19,
mexico,oriental,psngAirBio,2020,capaConvResi,0.001,
mexico,oriental,psngAirH2,2020,capaConvResi,0.026,
mexico,oriental,psngRailConv,2020,capaConvResi,0.001,
mexico,oriental,psngRailElectric,2020,capaConvResi,0.184,
mexico,oriental,psngRoadIce,2020,capaConvResi,8.962,
mexico,oriental,psngRoadBev,2020,capaConvResi,0.254,
mexico,oriental,psngRoadH2,2020,capaConvResi,0.001,
mexico,peninsular,frtRailConv,2020,capaConvResi,0.001,
mexico,peninsular,frtRailElectric,2020,capaConvResi,0.004,
mexico,peninsular,frtRoadIce,2020,capaConvResi,0.093,
mexico,peninsular,frtRoadBev,2020,capaConvResi,0.001,
mexico,peninsular,frtRoadOh,2020,capaConvResi,0.005,
mexico,peninsular,frtRoadH2,2020,capaConvResi,0.001,
mexico,peninsular,frtShipConv,2020,capaConvResi,0,
mexico,peninsular,frtShipBio,2020,capaConvResi,0,
mexico,peninsular,psngAirConv,2020,capaConvResi,2.89,
mexico,peninsular,psngAirBio,2020,capaConvResi,0.001,
mexico,peninsular,psngAirH2,2020,capaConvResi,0.013,
mexico,peninsular,psngRailConv,2020,capaConvResi,0.001,
mexico,peninsular,psngRailElectric,2020,capaConvResi,0.176,
mexico,peninsular,psngRoadIce,2020,capaConvResi,5.006,
mexico,peninsular,psngRoadBev,2020,capaConvResi,0.146,
mexico,peninsular,psngRoadH2,2020,capaConvResi,0.001,
usa,alabama,frtRailConv,2020,capaConvResi,0.67,
usa,alabama,frtRailElectric,2020,capaConvResi,0.158,
usa,alabama,frtRoadIce,2020,capaConvResi,3.078,
usa,alabama,frtRoadBev,2020,capaConvResi,0.001,
usa,alabama,frtRoadOh,2020,capaConvResi,0.024,
usa,alabama,frtRoadH2,2020,capaConvResi,0.001,
usa,alabama,frtShipConv,2020,capaConvResi,0,
usa,alabama,frtShipBio,2020,capaConvResi,0,
usa,alabama,psngAirConv,2020,capaConvResi,4.092,
usa,alabama,psngAirBio,2020,capaConvResi,0.001,
usa,alabama,psngAirH2,2020,capaConvResi,0.024,
usa,alabama,psngRailConv,2020,capaConvResi,0.001,
usa,alabama,psngRailElectric,2020,capaConvResi,0.213,
usa,alabama,psngRoadIce,2020,capaConvResi,47.635,
usa,alabama,psngRoadBev,2020,capaConvResi,1.524,
usa,alabama,psngRoadH2,2020,capaConvResi,0.001,
usa,alaska,frtRailConv,2020,capaConvResi,0.001,
usa,alaska,frtRailElectric,2020,capaConvResi,0.004,
usa,alaska,frtRoadIce,2020,capaConvResi,0.401,
usa,alaska,frtRoadBev,2020,capaConvResi,0.001,
usa,alaska,frtRoadOh,2020,capaConvResi,0.005,
usa,alaska,frtRoadH2,2020,capaConvResi,0.001,
usa,alaska,frtShipConv,2020,capaConvResi,0,
usa,alaska,frtShipBio,2020,capaConvResi,0,
usa,alaska,psngAirConv,2020,capaConvResi,2.152,
usa,alaska,psngAirBio,2020,capaConvResi,0.001,
usa,alaska,psngAirH2,2020,capaConvResi,0.012,
usa,alaska,psngRailConv,2020,capaConvResi,0.001,
usa,alaska,psngRailElectric,2020,capaConvResi,0.13,
usa,alaska,psngRoadIce,2020,capaConvResi,2.721,
usa,alaska,psngRoadBev,2020,capaConvResi,0.03,
usa,alaska,psngRoadH2,2020,capaConvResi,0.001,
usa,arizona,frtRailConv,2020,capaConvResi,0.335,
usa,arizona,frtRailElectric,2020,capaConvResi,0.07,
usa,arizona,frtRoadIce,2020,capaConvResi,3.786,
usa,arizona,frtRoadBev,2020,capaConvResi,0.001,
usa,arizona,frtRoadOh,2020,capaConvResi,0.031,
usa,arizona,frtRoadH2,2020,capaConvResi,0.001,
usa,arizona,frtShipConv,2020,capaConvResi,0.005,
usa,arizona,frtShipBio,2020,capaConvResi,0.001,
usa,arizona,psngAirConv,2020,capaConvResi,20.434,
usa,arizona,psngAirBio,2020,capaConvResi,0.001,
usa,arizona,psngAirH2,2020,capaConvResi,0.072,
usa,arizona,psngRailConv,2020,capaConvResi,0.001,
usa,arizona,psngRailElectric,2020,capaConvResi,0.125,
usa,arizona,psngRoadIce,2020,capaConvResi,35.761,
usa,arizona,psngRoadBev,2020,capaConvResi,0.804,
usa,arizona,psngRoadH2,2020,capaConvResi,0.001,
usa,arkansas,frtRailConv,2020,capaConvResi,0.335,
usa,arkansas,frtRailElectric,2020,capaConvResi,0.103,
usa,arkansas,frtRoadIce,2020,capaConvResi,3.416,
usa,arkansas,frtRoadBev,2020,capaConvResi,0.001,
usa,arkansas,frtRoadOh,2020,capaConvResi,0.028,
usa,arkansas,frtRoadH2,2020,capaConvResi,0.001,
usa,arkansas,frtShipConv,2020,capaConvResi,0,
usa,arkansas,frtShipBio,2020,capaConvResi,0,
usa,arkansas,psngAirConv,2020,capaConvResi,2.728,
usa,arkansas,psngAirBio,2020,capaConvResi,0.001,
usa,arkansas,psngAirH2,2020,capaConvResi,0.012,
usa,arkansas,psngRailConv,2020,capaConvResi,0.001,
usa,arkansas,psngRailElectric,2020,capaConvResi,0.206,
usa,arkansas,psngRoadIce,2020,capaConvResi,24.54,
usa,arkansas,psngRoadBev,2020,capaConvResi,1.002,
usa,arkansas,psngRoadH2,2020,capaConvResi,0.001,
usa,california,frtRailConv,2020,capaConvResi,2.01,
usa,california,frtRailElectric,2020,capaConvResi,0.393,
usa,california,frtRoadIce,2020,capaConvResi,23.85,
usa,california,frtRoadBev,2020,capaConvResi,0.001,
usa,california,frtRoadOh,2020,capaConvResi,0.194,
usa,california,frtRoadH2,2020,capaConvResi,0.001,
usa,california,frtShipConv,2020,capaConvResi,0.02,
usa,california,frtShipBio,2020,capaConvResi,0.001,
usa,california,psngAirConv,2020,capaConvResi,85.163,
usa,california,psngAirBio,2020,capaConvResi,0.001,
usa,california,psngAirH2,2020,capaConvResi,0.284,
usa,california,psngRailConv,2020,capaConvResi,0.001,
usa,california,psngRailElectric,2020,capaConvResi,3.299,
usa,california,psngRoadIce,2020,capaConvResi,188.413,
usa,california,psngRoadBev,2020,capaConvResi,4.573,
usa,california,psngRoadH2,2020,capaConvResi,0.001,
usa,colorado,frtRailConv,2020,capaConvResi,0.447,
usa,colorado,frtRailElectric,2020,capaConvResi,0.122,
usa,colorado,frtRoadIce,2020,capaConvResi,2.647,
usa,colorado,frtRoadBev,2020,capaConvResi,0.001,
usa,colorado,frtRoadOh,2020,capaConvResi,0.022,
usa,colorado,frtRoadH2,2020,capaConvResi,0.001,
usa,colorado,frtShipConv,2020,capaConvResi,0.005,
usa,colorado,frtShipBio,2020,capaConvResi,0.001,
usa,colorado,psngAirConv,2020,capaConvResi,19.211,
usa,colorado,psngAirBio,2020,capaConvResi,0.001,
usa,colorado,psngAirH2,2020,capaConvResi,0.072,
usa,colorado,psngRailConv,2020,capaConvResi,0.001,
usa,colorado,psngRailElectric,2020,capaConvResi,0.209,
usa,colorado,psngRoadIce,2020,capaConvResi,27.829,
usa,colorado,psngRoadBev,2020,capaConvResi,0.614,
usa,colorado,psngRoadH2,2020,capaConvResi,0.001,
usa,connecticut,frtRailConv,2020,capaConvResi,0.056,
usa,connecticut,frtRailElectric,2020,capaConvResi,0.07,
usa,connecticut,frtRoadIce,2020,capaConvResi,0.585,
usa,connecticut,frtRoadBev,2020,capaConvResi,0.001,
usa,connecticut,frtRoadOh,2020,capaConvResi,0.005,
usa,connecticut,frtRoadH2,2020,capaConvResi,0.001,
usa,connecticut,frtShipConv,2020,capaConvResi,0,
usa,connecticut,frtShipBio,2020,capaConvResi,0,
usa,connecticut,psngAirConv,2020,capaConvResi,5.001,
usa,connecticut,psngAirBio,2020,capaConvResi,0.001,
usa,connecticut,psngAirH2,2020,capaConvResi,0.001,
usa,connecticut,psngRailConv,2020,capaConvResi,0.001,
usa,connecticut,psngRailElectric,2020,capaConvResi,0.162,
usa,connecticut,psngRoadIce,2020,capaConvResi,20.59,
usa,connecticut,psngRoadBev,2020,capaConvResi,0.383,
usa,connecticut,psngRoadH2,2020,capaConvResi,0.001,
usa,delaware,frtRailConv,2020,capaConvResi,0.001,
usa,delaware,frtRailElectric,2020,capaConvResi,0.052,
usa,delaware,frtRoadIce,2020,capaConvResi,0.277,
usa,delaware,frtRoadBev,2020,capaConvResi,0.001,
usa,delaware,frtRoadOh,2020,capaConvResi,0.005,
usa,delaware,frtRoadH2,2020,capaConvResi,0.001,
usa,delaware,frtShipConv,2020,capaConvResi,0,
usa,delaware,frtShipBio,2020,capaConvResi,0,
usa,delaware,psngAirConv,2020,capaConvResi,0,
usa,delaware,psngAirBio,2020,capaConvResi,0.001,
usa,delaware,psngAirH2,2020,capaConvResi,0.001,
usa,delaware,psngRailConv,2020,capaConvResi,0.001,
usa,delaware,psngRailElectric,2020,capaConvResi,0.096,
usa,delaware,psngRoadIce,2020,capaConvResi,7.486,
usa,delaware,psngRoadBev,2020,capaConvResi,0.253,
usa,delaware,psngRoadH2,2020,capaConvResi,0.001,
usa,florida,frtRailConv,2020,capaConvResi,0.67,
usa,florida,frtRailElectric,2020,capaConvResi,0.158,
usa,florida,frtRoadIce,2020,capaConvResi,6.432,
usa,florida,frtRoadBev,2020,capaConvResi,0.001,
usa,florida,frtRoadOh,2020,capaConvResi,0.052,
usa,florida,frtRoadH2,2020,capaConvResi,0.001,
usa,florida,frtShipConv,2020,capaConvResi,0.02,
usa,florida,frtShipBio,2020,capaConvResi,0.001,
usa,florida,psngAirConv,2020,capaConvResi,64.29,
usa,florida,psngAirBio,2020,capaConvResi,0.001,
usa,florida,psngAirH2,2020,capaConvResi,0.213,
usa,florida,psngRailConv,2020,capaConvResi,0.001,
usa,florida,psngRailElectric,2020,capaConvResi,0.543,
usa,florida,psngRoadIce,2020,capaConvResi,110.865,
usa,florida,psngRoadBev,2020,capaConvResi,3.038,
usa,florida,psngRoadH2,2020,capaConvResi,0.001,
usa,georgia,frtRailConv,2020,capaConvResi,0.894,
usa,georgia,frtRailElectric,2020,capaConvResi,0.169,
usa,georgia,frtRoadIce,2020,capaConvResi,6.155,
usa,georgia,frtRoadBev,2020,capaConvResi,0.001,
usa,georgia,frtRoadOh,2020,capaConvResi,0.05,
usa,georgia,frtRoadH2,2020,capaConvResi,0.001,
usa,georgia,frtShipConv,2020,capaConvResi,0.01,
usa,georgia,frtShipBio,2020,capaConvResi,0.001,
usa,georgia,psngAirConv,2020,capaConvResi,39.705,
usa,georgia,psngAirBio,2020,capaConvResi,0.001,
usa,georgia,psngAirH2,2020,capaConvResi,0.131,
usa,georgia,psngRailConv,2020,capaConvResi,0.001,
usa,georgia,psngRailElectric,2020,capaConvResi,0.253,
usa,georgia,psngRoadIce,2020,capaConvResi,63.659,
usa,georgia,psngRoadBev,2020,capaConvResi,1.714,
usa,georgia,psngRoadH2,2020,capaConvResi,0.001,
usa,idaho,frtRailConv,2020,capaConvResi,0.224,
usa,idaho,frtRailElectric,2020,capaConvResi,0.096,
usa,idaho,frtRoadIce,2020,capaConvResi,1.878,
usa,idaho,frtRoadBev,2020,capaConvResi,0.001,
usa,idaho,frtRoadOh,2020,capaConvResi,0.016,
usa,idaho,frtRoadH2,2020,capaConvResi,0.001,
usa,idaho,frtShipConv,2020,capaConvResi,0,
usa,idaho,frtShipBio,2020,capaConvResi,0,
usa,idaho,psngAirConv,2020,capaConvResi,2.652,
usa,idaho,psngAirBio,2020,capaConvResi,0.001,
usa,idaho,psngAirH2,2020,capaConvResi,0.001,
usa,idaho,psngRailConv,2020,capaConvResi,0.001,
usa,idaho,psngRailElectric,2020,capaConvResi,0.147,
usa,idaho,psngRoadIce,2020,capaConvResi,10.001,
usa,idaho,psngRoadBev,2020,capaConvResi,0.359,
usa,idaho,psngRoadH2,2020,capaConvResi,0.001,
usa,illinois,frtRailConv,2020,capaConvResi,2.457,
usa,illinois,frtRailElectric,2020,capaConvResi,0.43,
usa,illinois,frtRoadIce,2020,capaConvResi,12.925,
usa,illinois,frtRoadBev,2020,capaConvResi,0.001,
usa,illinois,frtRoadOh,2020,capaConvResi,0.108,
usa,illinois,frtRoadH2,2020,capaConvResi,0.001,
usa,illinois,frtShipConv,2020,capaConvResi,0.01,
usa,illinois,frtShipBio,2020,capaConvResi,0.001,
usa,illinois,psngAirConv,2020,capaConvResi,33.606,
usa,illinois,psngAirBio,2020,capaConvResi,0.001,
usa,illinois,psngAirH2,2020,capaConvResi,0.131,
usa,illinois,psngRailConv,2020,capaConvResi,0.001,
usa,illinois,psngRailElectric,2020,capaConvResi,1.584,
usa,illinois,psngRoadIce,2020,capaConvResi,58.794,
usa,illinois,psngRoadBev,2020,capaConvResi,1.591,
usa,illinois,psngRoadH2,2020,capaConvResi,0.001,
usa,indiana,frtRailConv,2020,capaConvResi,0.67,
usa,indiana,frtRailElectric,2020,capaConvResi,0.202,
usa,indiana,frtRoadIce,2020,capaConvResi,21.049,
usa,indiana,frtRoadBev,2020,capaConvResi,0.001,
usa,indiana,frtRoadOh,2020,capaConvResi,0.17,
usa,indiana,frtRoadH2,2020,capaConvResi,0.001,
usa,indiana,frtShipConv,2020,capaConvResi,0,
usa,indiana,frtShipBio,2020,capaConvResi,0,
usa,indiana,psngAirConv,2020,capaConvResi,8.637,
usa,indiana,psngAirBio,2020,capaConvResi,0.001,
usa,indiana,psngAirH2,2020,capaConvResi,0.012,
usa,indiana,psngRailConv,2020,capaConvResi,0.001,
usa,indiana,psngRailElectric,2020,capaConvResi,0.169,
usa,indiana,psngRoadIce,2020,capaConvResi,50.977,
usa,indiana,psngRoadBev,2020,capaConvResi,1.925,
usa,indiana,psngRoadH2,2020,capaConvResi,0.001,
usa,iowa,frtRailConv,2020,capaConvResi,1.117,
usa,iowa,frtRailElectric,2020,capaConvResi,0.221,
usa,iowa,frtRoadIce,2020,capaConvResi,7.31,
usa,iowa,frtRoadBev,2020,capaConvResi,0.001,
usa,iowa,frtRoadOh,2020,capaConvResi,0.052,
usa,iowa,frtRoadH2,2020,capaConvResi,0.001,
usa,iowa,frtShipConv,2020,capaConvResi,0,
usa,iowa,frtShipBio,2020,capaConvResi,0,
usa,iowa,psngAirConv,2020,capaConvResi,3.183,
usa,iowa,psngAirBio,2020,capaConvResi,0.025,
usa,iowa,psngAirH2,2020,capaConvResi,0.001,
usa,iowa,psngRailConv,2020,capaConvResi,0.001,
usa,iowa,psngRailElectric,2020,capaConvResi,0.147,
usa,iowa,psngRoadIce,2020,capaConvResi,23.463,
usa,iowa,psngRoadBev,2020,capaConvResi,1.058,
usa,iowa,psngRoadH2,2020,capaConvResi,0.001,
usa,kansas,frtRailConv,2020,capaConvResi,0.782,
usa,kansas,frtRailElectric,2020,capaConvResi,0.173,
usa,kansas,frtRoadIce,2020,capaConvResi,3.539,
usa,kansas,frtRoadBev,2020,capaConvResi,0.001,
usa,kansas,frtRoadOh,2020,capaConvResi,0.031,
usa,kansas,frtRoadH2,2020,capaConvResi,0.001,
usa,kansas,frtShipConv,2020,capaConvResi,0,
usa,kansas,frtShipBio,2020,capaConvResi,0,
usa,kansas,psngAirConv,2020,capaConvResi,1.364,
usa,kansas,psngAirBio,2020,capaConvResi,0.001,
usa,kansas,psngAirH2,2020,capaConvResi,0.001,
usa,kansas,psngRailConv,2020,capaConvResi,0.001,
usa,kansas,psngRailElectric,2020,capaConvResi,0.125,
usa,kansas,psngRoadIce,2020,capaConvResi,21.025,
usa,kansas,psngRoadBev,2020,capaConvResi,0.926,
usa,kansas,psngRoadH2,2020,capaConvResi,0.001,
usa,kentucky,frtRailConv,2020,capaConvResi,0.782,
usa,kentucky,frtRailElectric,2020,capaConvResi,0.133,
usa,kentucky,frtRoadIce,2020,capaConvResi,2.493,
usa,kentucky,frtRoadBev,2020,capaConvResi,0.001,
usa,kentucky,frtRoadOh,2020,capaConvResi,0.02,
usa,kentucky,frtRoadH2,2020,capaConvResi,0.001,
usa,kentucky,frtShipConv,2020,capaConvResi,0,
usa,kentucky,frtShipBio,2020,capaConvResi,0,
usa,kentucky,psngAirConv,2020,capaConvResi,8.562,
usa,kentucky,psngAirBio,2020,capaConvResi,0.001,
usa,kentucky,psngAirH2,2020,capaConvResi,0.012,
usa,kentucky,psngRailConv,2020,capaConvResi,0.001,
usa,kentucky,psngRailElectric,2020,capaConvResi,0.242,
usa,kentucky,psngRoadIce,2020,capaConvResi,30.489,
usa,kentucky,psngRoadBev,2020,capaConvResi,1.181,
usa,kentucky,psngRoadH2,2020,capaConvResi,0.001,
usa,louisiana,frtRailConv,2020,capaConvResi,1.564,
usa,louisiana,frtRailElectric,2020,capaConvResi,0.309,
usa,louisiana,frtRoadIce,2020,capaConvResi,2.678,
usa,louisiana,frtRoadBev,2020,capaConvResi,0.001,
usa,louisiana,frtRoadOh,2020,capaConvResi,0.022,
usa,louisiana,frtRoadH2,2020,capaConvResi,0.001,
usa,louisiana,frtShipConv,2020,capaConvResi,0,
usa,louisiana,frtShipBio,2020,capaConvResi,0,
usa,louisiana,psngAirConv,2020,capaConvResi,9.499,
usa,louisiana,psngAirBio,2020,capaConvResi,0.001,
usa,louisiana,psngAirH2,2020,capaConvResi,0.024,
usa,louisiana,psngRailConv,2020,capaConvResi,0.001,
usa,louisiana,psngRailElectric,2020,capaConvResi,0.228,
usa,louisiana,psngRoadIce,2020,capaConvResi,30.496,
usa,louisiana,psngRoadBev,2020,capaConvResi,1.194,
usa,louisiana,psngRoadH2,2020,capaConvResi,0.001,
usa,maine,frtRailConv,2020,capaConvResi,0.001,
usa,maine,frtRailElectric,2020,capaConvResi,0.03,
usa,maine,frtRoadIce,2020,capaConvResi,0.616,
usa,maine,frtRoadBev,2020,capaConvResi,0.001,
usa,maine,frtRoadOh,2020,capaConvResi,0.005,
usa,maine,frtRoadH2,2020,capaConvResi,0.001,
usa,maine,frtShipConv,2020,capaConvResi,0,
usa,maine,frtShipBio,2020,capaConvResi,0,
usa,maine,psngAirConv,2020,capaConvResi,1.819,
usa,maine,psngAirBio,2020,capaConvResi,0.001,
usa,maine,psngAirH2,2020,capaConvResi,0.013,
usa,maine,psngRailConv,2020,capaConvResi,0.001,
usa,maine,psngRailElectric,2020,capaConvResi,0.213,
usa,maine,psngRoadIce,2020,capaConvResi,10.329,
usa,maine,psngRoadBev,2020,capaConvResi,0.228,
usa,maine,psngRoadH2,2020,capaConvResi,0.001,
usa,maryland,frtRailConv,2020,capaConvResi,0.224,
usa,maryland,frtRailElectric,2020,capaConvResi,0.059,
usa,maryland,frtRoadIce,2020,capaConvResi,1.047,
usa,maryland,frtRoadBev,2020,capaConvResi,0.001,
usa,maryland,frtRoadOh,2020,capaConvResi,0.009,
usa,maryland,frtRoadH2,2020,capaConvResi,0.001,
usa,maryland,frtShipConv,2020,capaConvResi,0,
usa,maryland,frtShipBio,2020,capaConvResi,0,
usa,maryland,psngAirConv,2020,capaConvResi,12.374,
usa,maryland,psngAirBio,2020,capaConvResi,0.001,
usa,maryland,psngAirH2,2020,capaConvResi,0.026,
usa,maryland,psngRailConv,2020,capaConvResi,0.001,
usa,maryland,psngRailElectric,2020,capaConvResi,0.565,
usa,maryland,psngRoadIce,2020,capaConvResi,34.601,
