region_1,region_2,technology_1,technology_2,timestep_3,parameter,value
mexico,noreste,res,solar,q3p,avaConv,0.440057692
mexico,noreste,res,solar,q3a,avaConv,0.205980769
mexico,noreste,res,solar,q4n,avaConv,0
mexico,noreste,res,solar,q4m,avaConv,0.067021978
mexico,noreste,res,solar,q4p,avaConv,0.509103022
mexico,noreste,res,solar,q4a,avaConv,0.053720588
mexico,noroeste,res,solar,q1n,avaConv,0
mexico,noroeste,res,solar,q1m,avaConv,0.054948148
mexico,noroeste,res,solar,q1p,avaConv,0.596147222
mexico,noroeste,res,solar,q1a,avaConv,0.080283333
mexico,noroeste,res,solar,q2n,avaConv,0
mexico,noroeste,res,solar,q2m,avaConv,0.08662963
mexico,noroeste,res,solar,q2p,avaConv,0.564226389
mexico,noroeste,res,solar,q2a,avaConv,0.111908333
mexico,noroeste,res,solar,q3n,avaConv,0
mexico,noroeste,res,solar,q3m,avaConv,0.066395604
mexico,noroeste,res,solar,q3p,avaConv,0.481898352
mexico,noroeste,res,solar,q3a,avaConv,0.09025
mexico,noroeste,res,solar,q4n,avaConv,0
mexico,noroeste,res,solar,q4m,avaConv,0.137952381
mexico,noroeste,res,solar,q4p,avaConv,0.518024725
mexico,noroeste,res,solar,q4a,avaConv,0.011659341
mexico,norte,res,solar,q1n,avaConv,0
mexico,norte,res,solar,q1m,avaConv,0.088922222
mexico,norte,res,solar,q1p,avaConv,0.639944444
mexico,norte,res,solar,q1a,avaConv,0.060269444
mexico,norte,res,solar,q2n,avaConv,0
mexico,norte,res,solar,q2m,avaConv,0.033455556
mexico,norte,res,solar,q2p,avaConv,0.56425
mexico,norte,res,solar,q2a,avaConv,0.187903047
mexico,norte,res,solar,q3n,avaConv,0
mexico,norte,res,solar,q3m,avaConv,0.023505495
mexico,norte,res,solar,q3p,avaConv,0.457120879
mexico,norte,res,solar,q3a,avaConv,0.134164835
mexico,norte,res,solar,q4n,avaConv,0
mexico,norte,res,solar,q4m,avaConv,0.141271062
mexico,norte,res,solar,q4p,avaConv,0.540317308
mexico,norte,res,solar,q4a,avaConv,0.024786765
mexico,occidental,res,solar,q1n,avaConv,0
mexico,occidental,res,solar,q1m,avaConv,0.023785185
mexico,occidental,res,solar,q1p,avaConv,0.602522222
mexico,occidental,res,solar,q1a,avaConv,0.138758333
mexico,occidental,res,solar,q2n,avaConv,0
mexico,occidental,res,solar,q2m,avaConv,0.001748148
mexico,occidental,res,solar,q2p,avaConv,0.488673611
mexico,occidental,res,solar,q2a,avaConv,0.239855956
mexico,occidental,res,solar,q3n,avaConv,0
mexico,occidental,res,solar,q3m,avaConv,0.000776557
mexico,occidental,res,solar,q3p,avaConv,0.470244505
mexico,occidental,res,solar,q3a,avaConv,0.21507967
mexico,occidental,res,solar,q4n,avaConv,0
mexico,occidental,res,solar,q4m,avaConv,0.060666667
mexico,occidental,res,solar,q4p,avaConv,0.578416209
mexico,occidental,res,solar,q4a,avaConv,0.084055147
mexico,oriental,res,solar,q1n,avaConv,0
mexico,oriental,res,solar,q1m,avaConv,0.043507407
mexico,oriental,res,solar,q1p,avaConv,0.506208333
mexico,oriental,res,solar,q1a,avaConv,0.065175
mexico,oriental,res,solar,q2n,avaConv,0
mexico,oriental,res,solar,q2m,avaConv,0.011237037
mexico,oriental,res,solar,q2p,avaConv,0.4283625
mexico,oriental,res,solar,q2a,avaConv,0.155495845
mexico,oriental,res,solar,q3n,avaConv,0
mexico,oriental,res,solar,q3m,avaConv,0.005838828
mexico,oriental,res,solar,q3p,avaConv,0.347462912
mexico,oriental,res,solar,q3a,avaConv,0.121230769
mexico,oriental,res,solar,q4n,avaConv,0
mexico,oriental,res,solar,q4m,avaConv,0.111589744
mexico,oriental,res,solar,q4p,avaConv,0.527535714
mexico,oriental,res,solar,q4a,avaConv,0.037680147
mexico,peninsular,res,solar,q1n,avaConv,0
mexico,peninsular,res,solar,q1m,avaConv,0.07887037
mexico,peninsular,res,solar,q1p,avaConv,0.536177778
mexico,peninsular,res,solar,q1a,avaConv,0.039458333
mexico,peninsular,res,solar,q2n,avaConv,0
mexico,peninsular,res,solar,q2m,avaConv,0.026344444
mexico,peninsular,res,solar,q2p,avaConv,0.475120833
mexico,peninsular,res,solar,q2a,avaConv,0.130083102
mexico,peninsular,res,solar,q3n,avaConv,0
mexico,peninsular,res,solar,q3m,avaConv,0.018369963
mexico,peninsular,res,solar,q3p,avaConv,0.390468407
mexico,peninsular,res,solar,q3a,avaConv,0.104239011
mexico,peninsular,res,solar,q4n,avaConv,0
mexico,peninsular,res,solar,q4m,avaConv,0.17840293
mexico,peninsular,res,solar,q4p,avaConv,0.547067308
mexico,peninsular,res,solar,q4a,avaConv,0.020672794
mexico,bajaCalifornia,res,wind,q1n,avaConv,0.21589864
mexico,bajaCalifornia,res,wind,q1m,avaConv,0.22722963
mexico,bajaCalifornia,res,wind,q1p,avaConv,0.247930556
mexico,bajaCalifornia,res,wind,q1a,avaConv,0.218958449
mexico,bajaCalifornia,res,wind,q2n,avaConv,0.24877037
mexico,bajaCalifornia,res,wind,q2m,avaConv,0.179592593
mexico,bajaCalifornia,res,wind,q2p,avaConv,0.207940278
mexico,bajaCalifornia,res,wind,q2a,avaConv,0.281766667
mexico,bajaCalifornia,res,wind,q3n,avaConv,0.177346764
mexico,bajaCalifornia,res,wind,q3m,avaConv,0.137611722
mexico,bajaCalifornia,res,wind,q3p,avaConv,0.129157967
mexico,bajaCalifornia,res,wind,q3a,avaConv,0.171736264
mexico,bajaCalifornia,res,wind,q4n,avaConv,0.203571899
mexico,bajaCalifornia,res,wind,q4m,avaConv,0.201223443
mexico,bajaCalifornia,res,wind,q4p,avaConv,0.235152682
mexico,bajaCalifornia,res,wind,q4a,avaConv,0.181948718
mexico,bajaCaliforniaSur,res,wind,q1n,avaConv,0.303604938
mexico,bajaCaliforniaSur,res,wind,q1m,avaConv,0.27602963
mexico,bajaCaliforniaSur,res,wind,q1p,avaConv,0.212225
mexico,bajaCaliforniaSur,res,wind,q1a,avaConv,0.356647222
mexico,bajaCaliforniaSur,res,wind,q2n,avaConv,0.289252163
mexico,bajaCaliforniaSur,res,wind,q2m,avaConv,0.176822222
mexico,bajaCaliforniaSur,res,wind,q2p,avaConv,0.144213889
mexico,bajaCaliforniaSur,res,wind,q2a,avaConv,0.327606648
mexico,bajaCaliforniaSur,res,wind,q3n,avaConv,0.163494505
mexico,bajaCaliforniaSur,res,wind,q3m,avaConv,0.078007326
mexico,bajaCaliforniaSur,res,wind,q3p,avaConv,0.05203022
mexico,bajaCaliforniaSur,res,wind,q3a,avaConv,0.155236264
mexico,bajaCaliforniaSur,res,wind,q4n,avaConv,0.186931943
mexico,bajaCaliforniaSur,res,wind,q4m,avaConv,0.161238095
mexico,bajaCaliforniaSur,res,wind,q4p,avaConv,0.123831044
mexico,bajaCaliforniaSur,res,wind,q4a,avaConv,0.236841912
mexico,central,res,wind,q1n,avaConv,0.08725679
mexico,central,res,wind,q1m,avaConv,0.07402963
mexico,central,res,wind,q1p,avaConv,0.168443056
mexico,central,res,wind,q1a,avaConv,0.152911111
mexico,central,res,wind,q2n,avaConv,0.051054388
mexico,central,res,wind,q2m,avaConv,0.025651852
mexico,central,res,wind,q2p,avaConv,0.058406944
mexico,central,res,wind,q2a,avaConv,0.092199446
mexico,central,res,wind,q3n,avaConv,0.053632479
mexico,central,res,wind,q3m,avaConv,0.03814652
mexico,central,res,wind,q3p,avaConv,0.043614011
mexico,central,res,wind,q3a,avaConv,0.047667582
mexico,central,res,wind,q4n,avaConv,0.092412733
mexico,central,res,wind,q4m,avaConv,0.069575092
mexico,central,res,wind,q4p,avaConv,0.100586538
mexico,central,res,wind,q4a,avaConv,0.109235294
mexico,noreste,res,wind,q1n,avaConv,0.396674074
mexico,noreste,res,wind,q1m,avaConv,0.354655556
mexico,noreste,res,wind,q1p,avaConv,0.327831944
mexico,noreste,res,wind,q1a,avaConv,0.470713889
mexico,noreste,res,wind,q2n,avaConv,0.388805933
mexico,noreste,res,wind,q2m,avaConv,0.300351852
mexico,noreste,res,wind,q2p,avaConv,0.329608333
mexico,noreste,res,wind,q2a,avaConv,0.441019391
mexico,noreste,res,wind,q3n,avaConv,0.382208791
mexico,noreste,res,wind,q3m,avaConv,0.232304029
mexico,noreste,res,wind,q3p,avaConv,0.371120879
mexico,noreste,res,wind,q3a,avaConv,0.556585165
mexico,noreste,res,wind,q4n,avaConv,0.281260154
mexico,noreste,res,wind,q4m,avaConv,0.2376337
mexico,noreste,res,wind,q4p,avaConv,0.274203297
mexico,noreste,res,wind,q4a,avaConv,0.335158088
mexico,noroeste,res,wind,q1n,avaConv,0.160046914
mexico,noroeste,res,wind,q1m,avaConv,0.134262963
mexico,noroeste,res,wind,q1p,avaConv,0.285254167
mexico,noroeste,res,wind,q1a,avaConv,0.257022222
mexico,noroeste,res,wind,q2n,avaConv,0.150229913
mexico,noroeste,res,wind,q2m,avaConv,0.100566667
mexico,noroeste,res,wind,q2p,avaConv,0.330095833
mexico,noroeste,res,wind,q2a,avaConv,0.403246537
mexico,noroeste,res,wind,q3n,avaConv,0.064796093
mexico,noroeste,res,wind,q3m,avaConv,0.064553114
mexico,noroeste,res,wind,q3p,avaConv,0.064603022
mexico,noroeste,res,wind,q3a,avaConv,0.046228022
mexico,noroeste,res,wind,q4n,avaConv,0.135589462
mexico,noroeste,res,wind,q4m,avaConv,0.115058608
mexico,noroeste,res,wind,q4p,avaConv,0.207519231
mexico,noroeste,res,wind,q4a,avaConv,0.149856618
mexico,norte,res,wind,q1n,avaConv,0.36932963
mexico,norte,res,wind,q1m,avaConv,0.213807407
mexico,norte,res,wind,q1p,avaConv,0.220654167
mexico,norte,res,wind,q1a,avaConv,0.346791667
mexico,norte,res,wind,q2n,avaConv,0.394140915
mexico,norte,res,wind,q2m,avaConv,0.168037037
mexico,norte,res,wind,q2p,avaConv,0.167811111
mexico,norte,res,wind,q2a,avaConv,0.295116343
mexico,norte,res,wind,q3n,avaConv,0.255550672
mexico,norte,res,wind,q3m,avaConv,0.08647619
mexico,norte,res,wind,q3p,avaConv,0.079649725
mexico,norte,res,wind,q3a,avaConv,0.141296703
mexico,norte,res,wind,q4n,avaConv,0.290055982
mexico,norte,res,wind,q4m,avaConv,0.151003663
mexico,norte,res,wind,q4p,avaConv,0.166148352
mexico,norte,res,wind,q4a,avaConv,0.272220588
mexico,occidental,res,wind,q1n,avaConv,0.310533333
mexico,occidental,res,wind,q1m,avaConv,0.185137037
mexico,occidental,res,wind,q1p,avaConv,0.256402778
mexico,occidental,res,wind,q1a,avaConv,0.355352778
mexico,occidental,res,wind,q2n,avaConv,0.2311644
mexico,occidental,res,wind,q2m,avaConv,0.102166667
mexico,occidental,res,wind,q2p,avaConv,0.131391667
mexico,occidental,res,wind,q2a,avaConv,0.243537396
mexico,occidental,res,wind,q3n,avaConv,0.260647131
mexico,occidental,res,wind,q3m,avaConv,0.17185348
mexico,occidental,res,wind,q3p,avaConv,0.214016484
mexico,occidental,res,wind,q3a,avaConv,0.285596154
mexico,occidental,res,wind,q4n,avaConv,0.31313831
mexico,occidental,res,wind,q4m,avaConv,0.211032967
mexico,occidental,res,wind,q4p,avaConv,0.27109478
mexico,occidental,res,wind,q4a,avaConv,0.368169118
mexico,oriental,res,wind,q1n,avaConv,0.556641975
mexico,oriental,res,wind,q1m,avaConv,0.557974074
mexico,oriental,res,wind,q1p,avaConv,0.622654167
mexico,oriental,res,wind,q1a,avaConv,0.630494444
mexico,oriental,res,wind,q2n,avaConv,0.284326329
mexico,oriental,res,wind,q2m,avaConv,0.267722222
mexico,oriental,res,wind,q2p,avaConv,0.317241667
mexico,oriental,res,wind,q2a,avaConv,0.340742382
mexico,oriental,res,wind,q3n,avaConv,0.239211233
mexico,oriental,res,wind,q3m,avaConv,0.218710623
mexico,oriental,res,wind,q3p,avaConv,0.227184066
mexico,oriental,res,wind,q3a,avaConv,0.239697802
mexico,oriental,res,wind,q4n,avaConv,0.613384193
mexico,oriental,res,wind,q4m,avaConv,0.597032967
mexico,oriental,res,wind,q4p,avaConv,0.705898352
mexico,oriental,res,wind,q4a,avaConv,0.664507353
mexico,peninsular,res,wind,q1n,avaConv,0.2057
mexico,peninsular,res,wind,q1m,avaConv,0.16712963
mexico,peninsular,res,wind,q1p,avaConv,0.218306944
mexico,peninsular,res,wind,q1a,avaConv,0.246194444
mexico,peninsular,res,wind,q2n,avaConv,0.214211372
mexico,peninsular,res,wind,q2m,avaConv,0.133211111
mexico,peninsular,res,wind,q2p,avaConv,0.150573611
mexico,peninsular,res,wind,q2a,avaConv,0.264631579
mexico,peninsular,res,wind,q3n,avaConv,0.106429792
mexico,peninsular,res,wind,q3m,avaConv,0.068058608
mexico,peninsular,res,wind,q3p,avaConv,0.084671703
mexico,peninsular,res,wind,q3a,avaConv,0.165417582
mexico,peninsular,res,wind,q4n,avaConv,0.138839737
mexico,peninsular,res,wind,q4m,avaConv,0.095772894
mexico,peninsular,res,wind,q4p,avaConv,0.153865385
mexico,peninsular,res,wind,q4a,avaConv,0.237213235
usa,alabama,res,wind,q1n,avaConv,0.40336375
usa,alabama,res,wind,q1m,avaConv,0.404329039
usa,alabama,res,wind,q1p,avaConv,0.451198672
usa,alabama,res,wind,q1a,avaConv,0.456880032
usa,alabama,res,wind,q2n,avaConv,0.206033572
usa,alabama,res,wind,q2m,avaConv,0.19400161
usa,alabama,res,wind,q2p,avaConv,0.229885266
usa,alabama,res,wind,q2a,avaConv,0.24691477
usa,alabama,res,wind,q3n,avaConv,0.173341473
usa,alabama,res,wind,q3m,avaConv,0.158485959
usa,alabama,res,wind,q3p,avaConv,0.164626135
usa,alabama,res,wind,q3a,avaConv,0.173694059
usa,alabama,res,wind,q4n,avaConv,0.444481299
usa,alabama,res,wind,q4m,avaConv,0.432632585
usa,alabama,res,wind,q4p,avaConv,0.511520545
usa,alabama,res,wind,q4a,avaConv,0.481527067
usa,california,res,wind,q1n,avaConv,0.40336375
usa,california,res,wind,q1m,avaConv,0.404329039
usa,california,res,wind,q1p,avaConv,0.451198672
usa,california,res,wind,q1a,avaConv,0.456880032
usa,california,res,wind,q2n,avaConv,0.206033572
usa,california,res,wind,q2m,avaConv,0.19400161
usa,california,res,wind,q2p,avaConv,0.229885266
usa,california,res,wind,q2a,avaConv,0.24691477
usa,california,res,wind,q3n,avaConv,0.173341473
usa,california,res,wind,q3m,avaConv,0.158485959
usa,california,res,wind,q3p,avaConv,0.164626135
usa,california,res,wind,q3a,avaConv,0.173694059
usa,california,res,wind,q4n,avaConv,0.444481299
usa,california,res,wind,q4m,avaConv,0.432632585
usa,california,res,wind,q4p,avaConv,0.511520545
usa,california,res,wind,q4a,avaConv,0.481527067
usa,washington,res,wind,q1n,avaConv,0.40336375
usa,washington,res,wind,q1m,avaConv,0.404329039
usa,washington,res,wind,q1p,avaConv,0.451198672
usa,washington,res,wind,q1a,avaConv,0.456880032
usa,washington,res,wind,q2n,avaConv,0.206033572
usa,washington,res,wind,q2m,avaConv,0.19400161
usa,washington,res,wind,q2p,avaConv,0.229885266
usa,washington,res,wind,q2a,avaConv,0.24691477
usa,washington,res,wind,q3n,avaConv,0.173341473
usa,washington,res,wind,q3m,avaConv,0.158485959
usa,washington,res,wind,q3p,avaConv,0.164626135
usa,washington,res,wind,q3a,avaConv,0.173694059
usa,washington,res,wind,q4n,avaConv,0.444481299
usa,washington,res,wind,q4m,avaConv,0.432632585
usa,washington,res,wind,q4p,avaConv,0.511520545
usa,washington,res,wind,q4a,avaConv,0.481527067
usa,oregon,res,wind,q1n,avaConv,0.40336375
usa,oregon,res,wind,q1m,avaConv,0.404329039
usa,oregon,res,wind,q1p,avaConv,0.451198672
usa,oregon,res,wind,q1a,avaConv,0.456880032
usa,oregon,res,wind,q2n,avaConv,0.206033572
usa,oregon,res,wind,q2m,avaConv,0.19400161
usa,oregon,res,wind,q2p,avaConv,0.229885266
usa,oregon,res,wind,q2a,avaConv,0.24691477
usa,oregon,res,wind,q3n,avaConv,0.173341473
usa,oregon,res,wind,q3m,avaConv,0.158485959
usa,oregon,res,wind,q3p,avaConv,0.164626135
usa,oregon,res,wind,q3a,avaConv,0.173694059
usa,oregon,res,wind,q4n,avaConv,0.444481299
usa,oregon,res,wind,q4m,avaConv,0.432632585
usa,oregon,res,wind,q4p,avaConv,0.511520545
usa,oregon,res,wind,q4a,avaConv,0.481527067
usa,idaho,res,wind,q1n,avaConv,0.40336375
usa,idaho,res,wind,q1m,avaConv,0.404329039
usa,idaho,res,wind,q1p,avaConv,0.451198672
usa,idaho,res,wind,q1a,avaConv,0.456880032
usa,idaho,res,wind,q2n,avaConv,0.206033572
usa,idaho,res,wind,q2m,avaConv,0.19400161
usa,idaho,res,wind,q2p,avaConv,0.229885266
usa,idaho,res,wind,q2a,avaConv,0.24691477
usa,idaho,res,wind,q3n,avaConv,0.173341473
usa,idaho,res,wind,q3m,avaConv,0.158485959
usa,idaho,res,wind,q3p,avaConv,0.164626135
usa,idaho,res,wind,q3a,avaConv,0.173694059
usa,idaho,res,wind,q4n,avaConv,0.444481299
usa,idaho,res,wind,q4m,avaConv,0.432632585
usa,idaho,res,wind,q4p,avaConv,0.511520545
usa,idaho,res,wind,q4a,avaConv,0.481527067
usa,montana,res,wind,q1n,avaConv,0.4840365
usa,montana,res,wind,q1m,avaConv,0.485194847
usa,montana,res,wind,q1p,avaConv,0.541438406
usa,montana,res,wind,q1a,avaConv,0.548256038
usa,montana,res,wind,q2n,avaConv,0.247240286
usa,montana,res,wind,q2m,avaConv,0.232801932
usa,montana,res,wind,q2p,avaConv,0.275862319
usa,montana,res,wind,q2a,avaConv,0.296297723
usa,montana,res,wind,q3n,avaConv,0.208009768
usa,montana,res,wind,q3m,avaConv,0.19018315
usa,montana,res,wind,q3p,avaConv,0.197551362
usa,montana,res,wind,q3a,avaConv,0.208432871
usa,montana,res,wind,q4n,avaConv,0.533377559
usa,montana,res,wind,q4m,avaConv,0.519159102
usa,montana,res,wind,q4p,avaConv,0.613824654
usa,montana,res,wind,q4a,avaConv,0.577832481
usa,nevada,res,wind,q1n,avaConv,0.40336375
usa,nevada,res,wind,q1m,avaConv,0.404329039
usa,nevada,res,wind,q1p,avaConv,0.451198672
usa,nevada,res,wind,q1a,avaConv,0.456880032
usa,nevada,res,wind,q2n,avaConv,0.206033572
usa,nevada,res,wind,q2m,avaConv,0.19400161
usa,nevada,res,wind,q2p,avaConv,0.229885266
usa,nevada,res,wind,q2a,avaConv,0.24691477
usa,nevada,res,wind,q3n,avaConv,0.173341473
usa,nevada,res,wind,q3m,avaConv,0.158485959
usa,nevada,res,wind,q3p,avaConv,0.164626135
usa,nevada,res,wind,q3a,avaConv,0.173694059
usa,nevada,res,wind,q4n,avaConv,0.444481299
usa,nevada,res,wind,q4m,avaConv,0.432632585
usa,nevada,res,wind,q4p,avaConv,0.511520545
usa,nevada,res,wind,q4a,avaConv,0.481527067
usa,utah,res,wind,q1n,avaConv,0.40336375
usa,utah,res,wind,q1m,avaConv,0.404329039
usa,utah,res,wind,q1p,avaConv,0.451198672
usa,utah,res,wind,q1a,avaConv,0.456880032
usa,utah,res,wind,q2n,avaConv,0.206033572
usa,utah,res,wind,q2m,avaConv,0.19400161
usa,utah,res,wind,q2p,avaConv,0.229885266
usa,utah,res,wind,q2a,avaConv,0.24691477
usa,utah,res,wind,q3n,avaConv,0.173341473
usa,utah,res,wind,q3m,avaConv,0.158485959
usa,utah,res,wind,q3p,avaConv,0.164626135
usa,utah,res,wind,q3a,avaConv,0.173694059
usa,utah,res,wind,q4n,avaConv,0.444481299
usa,utah,res,wind,q4m,avaConv,0.432632585
usa,utah,res,wind,q4p,avaConv,0.511520545
usa,utah,res,wind,q4a,avaConv,0.481527067
usa,arizona,res,wind,q1n,avaConv,0.40336375
usa,arizona,res,wind,q1m,avaConv,0.404329039
usa,arizona,res,wind,q1p,avaConv,0.451198672
usa,arizona,res,wind,q1a,avaConv,0.456880032
usa,arizona,res,wind,q2n,avaConv,0.206033572
usa,arizona,res,wind,q2m,avaConv,0.19400161
usa,arizona,res,wind,q2p,avaConv,0.229885266
usa,arizona,res,wind,q2a,avaConv,0.24691477
usa,arizona,res,wind,q3n,avaConv,0.173341473
usa,arizona,res,wind,q3m,avaConv,0.158485959
usa,arizona,res,wind,q3p,avaConv,0.164626135
usa,arizona,res,wind,q3a,avaConv,0.173694059
usa,arizona,res,wind,q4n,avaConv,0.444481299
usa,arizona,res,wind,q4m,avaConv,0.432632585
usa,arizona,res,wind,q4p,avaConv,0.511520545
usa,arizona,res,wind,q4a,avaConv,0.481527067
usa,wyoming,res,wind,q1n,avaConv,0.4840365
usa,wyoming,res,wind,q1m,avaConv,0.485194847
usa,wyoming,res,wind,q1p,avaConv,0.541438406
usa,wyoming,res,wind,q1a,avaConv,0.548256038
usa,wyoming,res,wind,q2n,avaConv,0.247240286
usa,wyoming,res,wind,q2m,avaConv,0.232801932
usa,wyoming,res,wind,q2p,avaConv,0.275862319
usa,wyoming,res,wind,q2a,avaConv,0.296297723
usa,wyoming,res,wind,q3n,avaConv,0.208009768
usa,wyoming,res,wind,q3m,avaConv,0.19018315
usa,wyoming,res,wind,q3p,avaConv,0.197551362
usa,wyoming,res,wind,q3a,avaConv,0.208432871
usa,wyoming,res,wind,q4n,avaConv,0.533377559
usa,wyoming,res,wind,q4m,avaConv,0.519159102
usa,wyoming,res,wind,q4p,avaConv,0.613824654
usa,wyoming,res,wind,q4a,avaConv,0.577832481
usa,colorado,res,wind,q1n,avaConv,0.40336375
usa,colorado,res,wind,q1m,avaConv,0.404329039
usa,colorado,res,wind,q1p,avaConv,0.451198672
usa,colorado,res,wind,q1a,avaConv,0.456880032
usa,colorado,res,wind,q2n,avaConv,0.206033572
usa,colorado,res,wind,q2m,avaConv,0.19400161
usa,colorado,res,wind,q2p,avaConv,0.229885266
usa,colorado,res,wind,q2a,avaConv,0.24691477
usa,colorado,res,wind,q3n,avaConv,0.173341473
usa,colorado,res,wind,q3m,avaConv,0.158485959
usa,colorado,res,wind,q3p,avaConv,0.164626135
usa,colorado,res,wind,q3a,avaConv,0.173694059
usa,colorado,res,wind,q4n,avaConv,0.444481299
usa,colorado,res,wind,q4m,avaConv,0.432632585
usa,colorado,res,wind,q4p,avaConv,0.511520545
usa,colorado,res,wind,q4a,avaConv,0.481527067
usa,newMexico,res,wind,q1n,avaConv,0.40336375
usa,newMexico,res,wind,q1m,avaConv,0.404329039
usa,newMexico,res,wind,q1p,avaConv,0.451198672
usa,newMexico,res,wind,q1a,avaConv,0.456880032
usa,newMexico,res,wind,q2n,avaConv,0.206033572
usa,newMexico,res,wind,q2m,avaConv,0.19400161
usa,newMexico,res,wind,q2p,avaConv,0.229885266
usa,newMexico,res,wind,q2a,avaConv,0.24691477
usa,newMexico,res,wind,q3n,avaConv,0.173341473
usa,newMexico,res,wind,q3m,avaConv,0.158485959
usa,newMexico,res,wind,q3p,avaConv,0.164626135
usa,newMexico,res,wind,q3a,avaConv,0.173694059
usa,newMexico,res,wind,q4n,avaConv,0.444481299
usa,newMexico,res,wind,q4m,avaConv,0.432632585
usa,newMexico,res,wind,q4p,avaConv,0.511520545
usa,newMexico,res,wind,q4a,avaConv,0.481527067
usa,northDakota,res,wind,q1n,avaConv,0.4840365
usa,northDakota,res,wind,q1m,avaConv,0.485194847
usa,northDakota,res,wind,q1p,avaConv,0.541438406
usa,northDakota,res,wind,q1a,avaConv,0.548256038
usa,northDakota,res,wind,q2n,avaConv,0.247240286
usa,northDakota,res,wind,q2m,avaConv,0.232801932
usa,northDakota,res,wind,q2p,avaConv,0.275862319
usa,northDakota,res,wind,q2a,avaConv,0.296297723
usa,northDakota,res,wind,q3n,avaConv,0.208009768
usa,northDakota,res,wind,q3m,avaConv,0.19018315
usa,northDakota,res,wind,q3p,avaConv,0.197551362
usa,northDakota,res,wind,q3a,avaConv,0.208432871
usa,northDakota,res,wind,q4n,avaConv,0.533377559
usa,northDakota,res,wind,q4m,avaConv,0.519159102
usa,northDakota,res,wind,q4p,avaConv,0.613824654
usa,northDakota,res,wind,q4a,avaConv,0.577832481
usa,southDakota,res,wind,q1n,avaConv,0.4840365
usa,southDakota,res,wind,q1m,avaConv,0.485194847
