technology_4,mode,timestep_1,parameter,value
chpBiomass,,2015,effConv,0.3
chpBiomass,,2020,effConv,0.32
chpBiomass,,2025,effConv,0.325
chpBiomass,,2030,effConv,0.33
chpBiomass,,2035,effConv,0.335
chpBiomass,,2040,effConv,0.34
chpBiomass,,2045,effConv,0.345
chpBiomass,,2050,effConv,0.35
chpBiomassCcs,,2015,effConv,0.279
chpBiomassCcs,,2020,effConv,0.297
chpBiomassCcs,,2025,effConv,0.302
chpBiomassCcs,,2030,effConv,0.306
chpBiomassCcs,,2035,effConv,0.311
chpBiomassCcs,,2040,effConv,0.316
chpBiomassCcs,,2045,effConv,0.32
chpBiomassCcs,,2050,effConv,0.325
chpGas,,2015,effConv,0.548
chpGas,,2020,effConv,0.567
chpGas,,2025,effConv,0.577
chpGas,,2030,effConv,0.587
chpGas,,2035,effConv,0.591
chpGas,,2040,effConv,0.596
chpGas,,2045,effConv,0.601
chpGas,,2050,effConv,0.606
chpHardcoal,,2015,effConv,0.379
chpHardcoal,,2020,effConv,0.398
chpHardcoal,,2025,effConv,0.403
chpHardcoal,,2030,effConv,0.408
chpHardcoal,,2035,effConv,0.413
chpHardcoal,,2040,effConv,0.417
chpHardcoal,,2045,effConv,0.417
chpHardcoal,,2050,effConv,0.417
chpLignite,,2015,effConv,0.379
chpLignite,,2020,effConv,0.398
chpLignite,,2025,effConv,0.403
chpLignite,,2030,effConv,0.408
chpLignite,,2035,effConv,0.413
chpLignite,,2040,effConv,0.417
chpLignite,,2045,effConv,0.417
chpLignite,,2050,effConv,0.417
chpNuclear,,2015,effConv,0.37
chpNuclear,,2020,effConv,0.37
chpNuclear,,2025,effConv,0.375
chpNuclear,,2030,effConv,0.38
chpNuclear,,2035,effConv,0.4
chpNuclear,,2040,effConv,0.42
chpNuclear,,2045,effConv,0.42
chpNuclear,,2050,effConv,0.42
chpOil,,2015,effConv,0.38
chpOil,,2020,effConv,0.38
chpOil,,2025,effConv,0.385
chpOil,,2030,effConv,0.39
chpOil,,2035,effConv,0.395
chpOil,,2040,effConv,0.4
chpOil,,2045,effConv,0.405
chpOil,,2050,effConv,0.41
frtRailConv,,2015,effConv,5.442
frtRailConv,,2020,effConv,5.512
frtRailConv,,2025,effConv,5.583
frtRailConv,,2030,effConv,5.656
frtRailConv,,2035,effConv,5.731
frtRailConv,,2040,effConv,5.809
frtRailConv,,2045,effConv,5.888
frtRailConv,,2050,effConv,5.969
frtRailElectric,,2015,effConv,10.64
frtRailElectric,,2020,effConv,10.905
frtRailElectric,,2025,effConv,11.183
frtRailElectric,,2030,effConv,11.476
frtRailElectric,,2035,effConv,11.785
frtRailElectric,,2040,effConv,12.111
frtRailElectric,,2045,effConv,12.455
frtRailElectric,,2050,effConv,12.819
frtRoadBev,,2015,effConv,1.681
frtRoadBev,,2020,effConv,1.688
frtRoadBev,,2025,effConv,1.69
frtRoadBev,,2030,effConv,1.691
frtRoadBev,,2035,effConv,1.691
frtRoadBev,,2040,effConv,1.691
frtRoadBev,,2045,effConv,1.691
frtRoadBev,,2050,effConv,1.691
frtRoadH2,,2015,effConv,1.675
frtRoadH2,,2020,effConv,1.681
frtRoadH2,,2025,effConv,1.688
frtRoadH2,,2030,effConv,1.695
frtRoadH2,,2035,effConv,1.701
frtRoadH2,,2040,effConv,1.708
frtRoadH2,,2045,effConv,1.714
frtRoadH2,,2050,effConv,1.721
frtRoadIce,useOil,2015,effConv,1.572
frtRoadIce,useOil,2020,effConv,1.589
frtRoadIce,useOil,2025,effConv,1.605
frtRoadIce,useOil,2030,effConv,1.622
frtRoadIce,useOil,2035,effConv,1.64
frtRoadIce,useOil,2040,effConv,1.657
frtRoadIce,useOil,2045,effConv,1.676
frtRoadIce,useOil,2050,effConv,1.694
frtRoadIce,useBiomass,2015,effConv,1.31
frtRoadIce,useBiomass,2020,effConv,1.324
frtRoadIce,useBiomass,2025,effConv,1.338
frtRoadIce,useBiomass,2030,effConv,1.352
frtRoadIce,useBiomass,2035,effConv,1.366
frtRoadIce,useBiomass,2040,effConv,1.381
frtRoadIce,useBiomass,2045,effConv,1.396
frtRoadIce,useBiomass,2050,effConv,1.412
frtRoadOh,,2015,effConv,9.104
frtRoadOh,,2020,effConv,9.512
frtRoadOh,,2025,effConv,9.957
frtRoadOh,,2030,effConv,10.447
frtRoadOh,,2035,effConv,10.987
frtRoadOh,,2040,effConv,11.587
frtRoadOh,,2045,effConv,12.255
frtRoadOh,,2050,effConv,13.006
frtRoadPhev,useOil,2015,effConv,1.49
frtRoadPhev,useOil,2020,effConv,1.503
frtRoadPhev,useOil,2025,effConv,1.515
frtRoadPhev,useOil,2030,effConv,1.528
frtRoadPhev,useOil,2035,effConv,1.542
frtRoadPhev,useOil,2040,effConv,1.555
frtRoadPhev,useOil,2045,effConv,1.569
frtRoadPhev,useOil,2050,effConv,1.583
frtRoadPhev,useBiomass,2015,effConv,1.341
frtRoadPhev,useBiomass,2020,effConv,1.352
frtRoadPhev,useBiomass,2025,effConv,1.364
frtRoadPhev,useBiomass,2030,effConv,1.376
frtRoadPhev,useBiomass,2035,effConv,1.388
frtRoadPhev,useBiomass,2040,effConv,1.4
frtRoadPhev,useBiomass,2045,effConv,1.412
frtRoadPhev,useBiomass,2050,effConv,1.425
frtShipBio,,2015,effConv,9.663
frtShipBio,,2020,effConv,9.805
frtShipBio,,2025,effConv,9.95
frtShipBio,,2030,effConv,10.101
frtShipBio,,2035,effConv,10.256
frtShipBio,,2040,effConv,10.415
frtShipBio,,2045,effConv,10.58
frtShipBio,,2050,effConv,10.75
frtShipConv,,2015,effConv,8.403
frtShipConv,,2020,effConv,8.526
frtShipConv,,2025,effConv,8.653
frtShipConv,,2030,effConv,8.783
frtShipConv,,2035,effConv,8.918
frtShipConv,,2040,effConv,9.057
frtShipConv,,2045,effConv,9.2
frtShipConv,,2050,effConv,9.348
hhtBiomass,,2015,effConv,0.8
hhtBiomass,,2020,effConv,0.82
hhtBiomass,,2025,effConv,0.83
hhtBiomass,,2030,effConv,0.84
hhtBiomass,,2035,effConv,0.85
hhtBiomass,,2040,effConv,0.85
hhtBiomass,,2045,effConv,0.85
hhtBiomass,,2050,effConv,0.85
hhtElectricFurnace,,2015,effConv,0.96
hhtElectricFurnace,,2020,effConv,0.97
hhtElectricFurnace,,2025,effConv,0.975
hhtElectricFurnace,,2030,effConv,0.98
hhtElectricFurnace,,2035,effConv,0.985
hhtElectricFurnace,,2040,effConv,0.99
hhtElectricFurnace,,2045,effConv,0.995
hhtElectricFurnace,,2050,effConv,1
hhtGas,,2015,effConv,0.865
hhtGas,,2020,effConv,0.865
hhtGas,,2025,effConv,0.865
