region_1,region_2,technology_4,timestep_2,parameter,value,comment
mexico,bajaCalifornia,resGeothermal,2020,capaConvResi,0.199,"residual capacities are noted in input capacities, therefore original vlaues had to corrected for average efficiency"
mexico,bajaCalifornia,resGeothermal,2025,capaConvResi,0.179,
mexico,bajaCalifornia,resGeothermal,2030,capaConvResi,0.161,
mexico,bajaCalifornia,resGeothermal,2035,capaConvResi,0.145,
mexico,bajaCalifornia,resGeothermal,2040,capaConvResi,0.131,
mexico,bajaCalifornia,resGeothermal,2045,capaConvResi,0.117,
mexico,bajaCalifornia,resGeothermal,2050,capaConvResi,0.106,
mexico,occidental,pBiomass_,2020,capaConvResi,0.2551,
mexico,occidental,pBiomass_,2025,capaConvResi,0.1921,
mexico,occidental,pBiomass_,2030,capaConvResi,0.1441,
mexico,occidental,pBiomass_,2035,capaConvResi,0.1081,
mexico,noreste,pHardcoal,2020,capaConvResi,2.3986,
mexico,noreste,pHardcoal,2025,capaConvResi,2.0386,
mexico,noreste,pHardcoal,2030,capaConvResi,1.7326,
mexico,noreste,pHardcoal,2035,capaConvResi,1.4734,
mexico,noreste,pHardcoal,2040,capaConvResi,1.252,
mexico,bajaCalifornia,pGas,2020,capaConvResi,3.7511,
mexico,bajaCalifornia,pGas,2025,capaConvResi,3.1881,
mexico,bajaCalifornia,pGas,2030,capaConvResi,2.7101,
mexico,bajaCalifornia,pGas,2035,capaConvResi,2.3031,
mexico,bajaCalifornia,pGas,2040,capaConvResi,1.9581,
mexico,central,pGas,2020,capaConvResi,15.322,
mexico,central,pGas,2025,capaConvResi,13.0223,
mexico,central,pGas,2030,capaConvResi,11.0675,
mexico,central,pGas,2035,capaConvResi,9.4059,
mexico,central,pGas,2040,capaConvResi,7.9974,
mexico,noreste,pGas,2020,capaConvResi,8.7502,
mexico,noreste,pGas,2025,capaConvResi,7.4383,
mexico,noreste,pGas,2030,capaConvResi,6.323,
mexico,noreste,pGas,2035,capaConvResi,5.3745,
mexico,noreste,pGas,2040,capaConvResi,4.5677,
mexico,noroeste,pGas,2020,capaConvResi,5.0231,
mexico,noroeste,pGas,2025,capaConvResi,4.2691,
mexico,noroeste,pGas,2030,capaConvResi,3.6291,
mexico,noroeste,pGas,2035,capaConvResi,3.0851,
mexico,noroeste,pGas,2040,capaConvResi,2.6221,
mexico,norte,pGas,2020,capaConvResi,8.6603,
mexico,norte,pGas,2025,capaConvResi,7.3612,
mexico,norte,pGas,2030,capaConvResi,6.2568,
mexico,norte,pGas,2035,capaConvResi,5.3188,
mexico,norte,pGas,2040,capaConvResi,4.5203,
mexico,occidental,pGas,2020,capaConvResi,8.5407,
