region_2,technology_4,timestep_1,parameter,value
wisconsin,hltGas,2015,capaConvResi,8.0059
wyoming,hltGas,2015,capaConvResi,1.3177
alabama,hltGas,2020,capaConvResi,1.9595
arizona,hltGas,2020,capaConvResi,5.8691
arkansas,hltGas,2020,capaConvResi,2.3104
california,hltGas,2020,capaConvResi,26.3175
colorado,hltGas,2020,capaConvResi,9.0396
connecticut,hltGas,2020,capaConvResi,5.2587
delaware,hltGas,2020,capaConvResi,0.5994
florida,hltGas,2020,capaConvResi,13.0876
georgia,hltGas,2020,capaConvResi,5.9427
idaho,hltGas,2020,capaConvResi,2.7107
illinois,hltGas,2020,capaConvResi,12.8178
indiana,hltGas,2020,capaConvResi,6.8487
iowa,hltGas,2020,capaConvResi,3.4864
kansas,hltGas,2020,capaConvResi,3.1912
kentucky,hltGas,2020,capaConvResi,1.7292
louisiana,hltGas,2020,capaConvResi,3.4718
maine,hltGas,2020,capaConvResi,3.9286
maryland,hltGas,2020,capaConvResi,3.4581
massachusetts,hltGas,2020,capaConvResi,15.3315
michigan,hltGas,2020,capaConvResi,10.9676
minnesota,hltGas,2020,capaConvResi,6.1011
mississippi,hltGas,2020,capaConvResi,1.1488
missouri,hltGas,2020,capaConvResi,6.9894
montana,hltGas,2020,capaConvResi,1.9333
nebraska,hltGas,2020,capaConvResi,2.0885
nevada,hltGas,2020,capaConvResi,2.4217
newHampshire,hltGas,2020,capaConvResi,3.3542
newJersey,hltGas,2020,capaConvResi,14.8397
newMexico,hltGas,2020,capaConvResi,1.8316
newYork,hltGas,2020,capaConvResi,33.8922
northCarolina,hltGas,2020,capaConvResi,6.3822
northDakota,hltGas,2020,capaConvResi,0.9245
ohio,hltGas,2020,capaConvResi,12.4291
oklahoma,hltGas,2020,capaConvResi,2.932
oregon,hltGas,2020,capaConvResi,3.2313
pennsylvania,hltGas,2020,capaConvResi,23.137
rhodeIsland,hltGas,2020,capaConvResi,2.4926
southCarolina,hltGas,2020,capaConvResi,3.1385
southDakota,hltGas,2020,capaConvResi,0.9691
tennessee,hltGas,2020,capaConvResi,2.5546
texas,hltGas,2020,capaConvResi,18.1479
utah,hltGas,2020,capaConvResi,4.062
vermont,hltGas,2020,capaConvResi,1.7609
virginia,hltGas,2020,capaConvResi,4.9292
washington,hltGas,2020,capaConvResi,5.6278
westVirginia,hltGas,2020,capaConvResi,2.0524
wisconsin,hltGas,2020,capaConvResi,6.4047
wyoming,hltGas,2020,capaConvResi,1.0542
alabama,hltGas,2025,capaConvResi,1.4696
arizona,hltGas,2025,capaConvResi,4.4018
arkansas,hltGas,2025,capaConvResi,1.7328
california,hltGas,2025,capaConvResi,19.7381
colorado,hltGas,2025,capaConvResi,6.7797
connecticut,hltGas,2025,capaConvResi,3.944
delaware,hltGas,2025,capaConvResi,0.4496
florida,hltGas,2025,capaConvResi,9.8157
georgia,hltGas,2025,capaConvResi,4.457
idaho,hltGas,2025,capaConvResi,2.033
illinois,hltGas,2025,capaConvResi,9.6134
indiana,hltGas,2025,capaConvResi,5.1365
iowa,hltGas,2025,capaConvResi,2.6148
kansas,hltGas,2025,capaConvResi,2.3934
kentucky,hltGas,2025,capaConvResi,1.2969
louisiana,hltGas,2025,capaConvResi,2.6038
maine,hltGas,2025,capaConvResi,2.9465
maryland,hltGas,2025,capaConvResi,2.5936
massachusetts,hltGas,2025,capaConvResi,11.4986
michigan,hltGas,2025,capaConvResi,8.2257
minnesota,hltGas,2025,capaConvResi,4.5759
mississippi,hltGas,2025,capaConvResi,0.8616
missouri,hltGas,2025,capaConvResi,5.2421
montana,hltGas,2025,capaConvResi,1.45
nebraska,hltGas,2025,capaConvResi,1.5664
nevada,hltGas,2025,capaConvResi,1.8163
newHampshire,hltGas,2025,capaConvResi,2.5157
newJersey,hltGas,2025,capaConvResi,11.1298
newMexico,hltGas,2025,capaConvResi,1.3737
newYork,hltGas,2025,capaConvResi,25.4192
northCarolina,hltGas,2025,capaConvResi,4.7867
northDakota,hltGas,2025,capaConvResi,0.6934
ohio,hltGas,2025,capaConvResi,9.3218
oklahoma,hltGas,2025,capaConvResi,2.199
oregon,hltGas,2025,capaConvResi,2.4235
pennsylvania,hltGas,2025,capaConvResi,17.3528
rhodeIsland,hltGas,2025,capaConvResi,1.8695
southCarolina,hltGas,2025,capaConvResi,2.3539
southDakota,hltGas,2025,capaConvResi,0.7268
tennessee,hltGas,2025,capaConvResi,1.916
texas,hltGas,2025,capaConvResi,13.6109
utah,hltGas,2025,capaConvResi,3.0465
vermont,hltGas,2025,capaConvResi,1.3207
virginia,hltGas,2025,capaConvResi,3.6969
washington,hltGas,2025,capaConvResi,4.2209
westVirginia,hltGas,2025,capaConvResi,1.5393
wisconsin,hltGas,2025,capaConvResi,4.8035
wyoming,hltGas,2025,capaConvResi,0.7907
alabama,hltGas,2030,capaConvResi,0.9798
arizona,hltGas,2030,capaConvResi,2.9346
arkansas,hltGas,2030,capaConvResi,1.1552
california,hltGas,2030,capaConvResi,13.1588
colorado,hltGas,2030,capaConvResi,4.5198
connecticut,hltGas,2030,capaConvResi,2.6294
delaware,hltGas,2030,capaConvResi,0.2997
florida,hltGas,2030,capaConvResi,6.5438
georgia,hltGas,2030,capaConvResi,2.9714
idaho,hltGas,2030,capaConvResi,1.3554
illinois,hltGas,2030,capaConvResi,6.4089
indiana,hltGas,2030,capaConvResi,3.4244
iowa,hltGas,2030,capaConvResi,1.7432
kansas,hltGas,2030,capaConvResi,1.5956
kentucky,hltGas,2030,capaConvResi,0.8646
louisiana,hltGas,2030,capaConvResi,1.7359
maine,hltGas,2030,capaConvResi,1.9643
maryland,hltGas,2030,capaConvResi,1.7291
massachusetts,hltGas,2030,capaConvResi,7.6658
michigan,hltGas,2030,capaConvResi,5.4838
minnesota,hltGas,2030,capaConvResi,3.0506
mississippi,hltGas,2030,capaConvResi,0.5744
missouri,hltGas,2030,capaConvResi,3.4947
montana,hltGas,2030,capaConvResi,0.9667
nebraska,hltGas,2030,capaConvResi,1.0443
nevada,hltGas,2030,capaConvResi,1.2109
newHampshire,hltGas,2030,capaConvResi,1.6771
newJersey,hltGas,2030,capaConvResi,7.4199
newMexico,hltGas,2030,capaConvResi,0.9158
newYork,hltGas,2030,capaConvResi,16.9461
northCarolina,hltGas,2030,capaConvResi,3.1911
northDakota,hltGas,2030,capaConvResi,0.4623
ohio,hltGas,2030,capaConvResi,6.2146
oklahoma,hltGas,2030,capaConvResi,1.466
oregon,hltGas,2030,capaConvResi,1.6157
pennsylvania,hltGas,2030,capaConvResi,11.5685
rhodeIsland,hltGas,2030,capaConvResi,1.2463
southCarolina,hltGas,2030,capaConvResi,1.5693
southDakota,hltGas,2030,capaConvResi,0.4846
tennessee,hltGas,2030,capaConvResi,1.2773
texas,hltGas,2030,capaConvResi,9.074
utah,hltGas,2030,capaConvResi,2.031
vermont,hltGas,2030,capaConvResi,0.8805
virginia,hltGas,2030,capaConvResi,2.4646
washington,hltGas,2030,capaConvResi,2.8139
westVirginia,hltGas,2030,capaConvResi,1.0262
wisconsin,hltGas,2030,capaConvResi,3.2024
wyoming,hltGas,2030,capaConvResi,0.5271
alabama,hltGas,2035,capaConvResi,0.4899
arizona,hltGas,2035,capaConvResi,1.4673
arkansas,hltGas,2035,capaConvResi,0.5776
california,hltGas,2035,capaConvResi,6.5794
colorado,hltGas,2035,capaConvResi,2.2599
connecticut,hltGas,2035,capaConvResi,1.3147
delaware,hltGas,2035,capaConvResi,0.1499
florida,hltGas,2035,capaConvResi,3.2719
georgia,hltGas,2035,capaConvResi,1.4857
idaho,hltGas,2035,capaConvResi,0.6777
illinois,hltGas,2035,capaConvResi,3.2045
indiana,hltGas,2035,capaConvResi,1.7122
iowa,hltGas,2035,capaConvResi,0.8716
kansas,hltGas,2035,capaConvResi,0.7978
kentucky,hltGas,2035,capaConvResi,0.4323
louisiana,hltGas,2035,capaConvResi,0.868
maine,hltGas,2035,capaConvResi,0.9822
maryland,hltGas,2035,capaConvResi,0.8646
massachusetts,hltGas,2035,capaConvResi,3.8329
michigan,hltGas,2035,capaConvResi,2.7419
minnesota,hltGas,2035,capaConvResi,1.5253
mississippi,hltGas,2035,capaConvResi,0.2872
missouri,hltGas,2035,capaConvResi,1.7474
montana,hltGas,2035,capaConvResi,0.4834
nebraska,hltGas,2035,capaConvResi,0.5222
nevada,hltGas,2035,capaConvResi,0.6055
newHampshire,hltGas,2035,capaConvResi,0.8386
newJersey,hltGas,2035,capaConvResi,3.71
newMexico,hltGas,2035,capaConvResi,0.4579
newYork,hltGas,2035,capaConvResi,8.4731
northCarolina,hltGas,2035,capaConvResi,1.5956
northDakota,hltGas,2035,capaConvResi,0.2312
ohio,hltGas,2035,capaConvResi,3.1073
oklahoma,hltGas,2035,capaConvResi,0.733
oregon,hltGas,2035,capaConvResi,0.8079
pennsylvania,hltGas,2035,capaConvResi,5.7843
rhodeIsland,hltGas,2035,capaConvResi,0.6232
southCarolina,hltGas,2035,capaConvResi,0.7847
southDakota,hltGas,2035,capaConvResi,0.2423
tennessee,hltGas,2035,capaConvResi,0.6387
texas,hltGas,2035,capaConvResi,4.537
utah,hltGas,2035,capaConvResi,1.0155
vermont,hltGas,2035,capaConvResi,0.4403
virginia,hltGas,2035,capaConvResi,1.2323
washington,hltGas,2035,capaConvResi,1.407
westVirginia,hltGas,2035,capaConvResi,0.5131
wisconsin,hltGas,2035,capaConvResi,1.6012
wyoming,hltGas,2035,capaConvResi,0.2636
alabama,hltHeatpump,2015,capaConvResi,0.1243
arizona,hltHeatpump,2015,capaConvResi,0.8674
arkansas,hltHeatpump,2015,capaConvResi,0.1151
california,hltHeatpump,2015,capaConvResi,1.2184
colorado,hltHeatpump,2015,capaConvResi,1.336
connecticut,hltHeatpump,2015,capaConvResi,1.0888
delaware,hltHeatpump,2015,capaConvResi,0.0248
florida,hltHeatpump,2015,capaConvResi,0.5409
georgia,hltHeatpump,2015,capaConvResi,0.2456
idaho,hltHeatpump,2015,capaConvResi,0.4006
illinois,hltHeatpump,2015,capaConvResi,0.9428
indiana,hltHeatpump,2015,capaConvResi,0.5038
iowa,hltHeatpump,2015,capaConvResi,0.3352
kansas,hltHeatpump,2015,capaConvResi,0.3068
kentucky,hltHeatpump,2015,capaConvResi,0.1097
louisiana,hltHeatpump,2015,capaConvResi,0.1729
maine,hltHeatpump,2015,capaConvResi,0.8134
maryland,hltHeatpump,2015,capaConvResi,0.143
massachusetts,hltHeatpump,2015,capaConvResi,3.1742
michigan,hltHeatpump,2015,capaConvResi,0.8067
minnesota,hltHeatpump,2015,capaConvResi,0.5865
mississippi,hltHeatpump,2015,capaConvResi,0.0729
missouri,hltHeatpump,2015,capaConvResi,0.6719
montana,hltHeatpump,2015,capaConvResi,0.2858
nebraska,hltHeatpump,2015,capaConvResi,0.2008
nevada,hltHeatpump,2015,capaConvResi,0.3579
newHampshire,hltHeatpump,2015,capaConvResi,0.6945
newJersey,hltHeatpump,2015,capaConvResi,1.9646
newMexico,hltHeatpump,2015,capaConvResi,0.2707
newYork,hltHeatpump,2015,capaConvResi,4.4869
northCarolina,hltHeatpump,2015,capaConvResi,0.2638
northDakota,hltHeatpump,2015,capaConvResi,0.0889
ohio,hltHeatpump,2015,capaConvResi,0.9142
oklahoma,hltHeatpump,2015,capaConvResi,0.1461
oregon,hltHeatpump,2015,capaConvResi,0.1496
pennsylvania,hltHeatpump,2015,capaConvResi,3.0631
rhodeIsland,hltHeatpump,2015,capaConvResi,0.5161
southCarolina,hltHeatpump,2015,capaConvResi,0.1297
southDakota,hltHeatpump,2015,capaConvResi,0.0932
tennessee,hltHeatpump,2015,capaConvResi,0.162
texas,hltHeatpump,2015,capaConvResi,0.9038
utah,hltHeatpump,2015,capaConvResi,0.6003
vermont,hltHeatpump,2015,capaConvResi,0.3646
virginia,hltHeatpump,2015,capaConvResi,0.2038
washington,hltHeatpump,2015,capaConvResi,0.2606
westVirginia,hltHeatpump,2015,capaConvResi,0.0849
wisconsin,hltHeatpump,2015,capaConvResi,0.4711
wyoming,hltHeatpump,2015,capaConvResi,0.1558
alabama,hltHeatpump,2020,capaConvResi,0.0994
arizona,hltHeatpump,2020,capaConvResi,0.6939
arkansas,hltHeatpump,2020,capaConvResi,0.0921
california,hltHeatpump,2020,capaConvResi,0.9748
colorado,hltHeatpump,2020,capaConvResi,1.0688
connecticut,hltHeatpump,2020,capaConvResi,0.871
delaware,hltHeatpump,2020,capaConvResi,0.0199
florida,hltHeatpump,2020,capaConvResi,0.4327
georgia,hltHeatpump,2020,capaConvResi,0.1965
idaho,hltHeatpump,2020,capaConvResi,0.3205
illinois,hltHeatpump,2020,capaConvResi,0.7543
indiana,hltHeatpump,2020,capaConvResi,0.403
iowa,hltHeatpump,2020,capaConvResi,0.2682
kansas,hltHeatpump,2020,capaConvResi,0.2455
kentucky,hltHeatpump,2020,capaConvResi,0.0877
