region_1,timestep_2,parameter,value
canada,2030,emissionUp,181.8
mexico,2030,emissionUp,91.2
usa,2030,emissionUp,2878.2
canada,2035,emissionUp,145.44
mexico,2035,emissionUp,72.96
usa,2035,emissionUp,2302.56
canada,2040,emissionUp,109.08
mexico,2040,emissionUp,54.72
usa,2040,emissionUp,1726.92
canada,2045,emissionUp,72.72
mexico,2045,emissionUp,36.48
usa,2045,emissionUp,1151.28
canada,2050,emissionUp,36.36
mexico,2050,emissionUp,18.24
usa,2050,emissionUp,575.64
